QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
1,11:45.0,N. Jokić makes 2-pt jump shot from 10 ft (assist by P. Millsap),,2,0
1,11:21.0,,T. Thompson makes 2-pt hook shot from 9 ft,2,2
1,10:56.0,P. Millsap misses 2-pt jump shot from 7 ft,,2,2
1,10:53.0,,Defensive rebound by C. Osman,2,2
1,10:47.0,,S. Dekker misses 2-pt jump shot from 21 ft,2,2
1,10:44.0,Defensive rebound by G. Harris,,2,2
1,10:40.0,Turnover by G. Harris (bad pass; steal by S. Dekker),,2,2
1,10:25.0,,G. Hill makes 3-pt jump shot from 24 ft,2,5
1,9:59.0,T. Craig misses 3-pt jump shot from 27 ft,,2,5
1,9:56.0,Offensive rebound by P. Millsap,,2,5
1,9:50.0,G. Harris makes 2-pt layup from 1 ft,,4,5
1,9:31.0,,C. Osman misses 2-pt jump shot from 15 ft,4,5
1,9:29.0,Defensive rebound by P. Millsap,,4,5
1,9:22.0,Turnover by T. Craig (bad pass; steal by R. Hood),,4,5
1,9:14.0,,R. Hood misses 2-pt layup from 2 ft,4,5
1,9:12.0,,Offensive rebound by S. Dekker,4,5
1,9:12.0,,S. Dekker misses 2-pt layup from 2 ft,4,5
1,9:12.0,,Offensive rebound by T. Thompson,4,5
1,9:09.0,,R. Hood misses 3-pt jump shot from 23 ft,4,5
1,9:01.0,,Offensive rebound by T. Thompson,4,5
1,9:01.0,,T. Thompson makes 2-pt dunk from 1 ft,4,7
1,8:53.0,J. Murray misses 2-pt jump shot from 8 ft,,4,7
1,8:47.0,Offensive rebound by N. Jokić,,4,7
1,8:47.0,N. Jokić misses 2-pt layup at rim,,4,7
1,8:46.0,,Defensive rebound by T. Thompson,4,7
1,8:46.0,,G. Hill makes 2-pt layup at rim,4,9
1,8:25.0,N. Jokić misses 3-pt jump shot from 27 ft,,4,9
1,8:21.0,,Defensive rebound by T. Thompson,4,9
1,8:09.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by R. Hood),4,12
1,8:09.0,Denver full timeout,,4,12
1,7:53.0,Turnover by N. Jokić (bad pass; steal by G. Hill),,4,12
1,7:53.0,,Personal foul by P. Millsap (drawn by G. Hill),4,12
1,7:36.0,,R. Hood misses 2-pt jump shot from 11 ft,4,12
1,7:34.0,Defensive rebound by N. Jokić,,4,12
1,7:14.0,P. Millsap makes 3-pt jump shot from 26 ft (assist by J. Murray),,7,12
1,6:50.0,,R. Hood misses 2-pt jump shot from 10 ft,7,12
1,6:48.0,Defensive rebound by N. Jokić,,7,12
1,6:39.0,P. Millsap makes 2-pt dunk at rim (assist by T. Craig),,9,12
1,6:16.0,,C. Osman makes 2-pt jump shot from 9 ft (assist by R. Hood),9,14
1,6:02.0,G. Harris misses 3-pt jump shot from 26 ft,,9,14
1,5:58.0,,Defensive rebound by T. Thompson,9,14
1,5:49.0,,T. Thompson makes 2-pt layup at rim (assist by G. Hill),9,16
1,5:24.0,J. Murray misses 3-pt jump shot from 25 ft,,9,16
1,5:21.0,,Defensive rebound by T. Thompson,9,16
1,5:16.0,,Shooting foul by T. Craig (drawn by R. Hood),9,16
1,5:16.0,,R. Hood makes free throw 1 of 2,9,17
1,5:16.0,M. Morris enters the game for J. Murray,,9,17
1,5:16.0,,R. Hood makes free throw 2 of 2,9,18
1,4:58.0,P. Millsap misses 2-pt jump shot from 17 ft,,9,18
1,4:54.0,,Defensive rebound by R. Hood,9,18
1,4:36.0,,S. Dekker misses 2-pt layup from 1 ft,9,18
1,4:34.0,Defensive rebound by Team,,9,18
1,4:34.0,M. Plumlee enters the game for N. Jokić,,9,18
1,4:34.0,,C. Sexton enters the game for R. Hood,9,18
1,4:16.0,M. Plumlee makes 2-pt layup from 2 ft (assist by M. Morris),,11,18
1,3:51.0,,C. Sexton makes 2-pt layup from 1 ft (assist by T. Thompson),11,20
1,3:41.0,Shooting foul by S. Dekker (drawn by G. Harris),,11,20
1,3:41.0,G. Harris makes free throw 1 of 2,,12,20
1,3:41.0,M. Beasley enters the game for T. Craig,,12,20
1,3:41.0,T. Lyles enters the game for P. Millsap,,12,20
1,3:41.0,,J. Clarkson enters the game for G. Hill,12,20
1,3:41.0,,L. Nance enters the game for T. Thompson,12,20
1,3:41.0,G. Harris makes free throw 2 of 2,,13,20
1,3:17.0,,C. Sexton misses 2-pt jump shot from 18 ft,13,20
1,3:14.0,Defensive rebound by M. Plumlee,,13,20
1,3:13.0,Turnover by M. Plumlee (bad pass; steal by L. Nance),,13,20
1,3:08.0,,C. Sexton misses 2-pt jump shot from 18 ft,13,20
1,3:05.0,Defensive rebound by M. Plumlee,,13,20
1,2:58.0,M. Plumlee misses 2-pt layup from 4 ft (block by C. Osman),,13,20
