QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
1,8:55.0,,K. Lowry misses 3-pt jump shot from 27 ft,8,7
1,8:52.0,Defensive rebound by J. Allen,,8,7
1,8:44.0,D. Russell makes 2-pt jump shot from 10 ft,,10,7
1,8:26.0,,D. Green misses 2-pt jump shot from 11 ft,10,7
1,8:23.0,Defensive rebound by J. Allen,,10,7
1,8:12.0,D. Russell misses 2-pt jump shot from 16 ft,,10,7
1,8:10.0,,Defensive rebound by K. Lowry,10,7
1,8:03.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by K. Lowry),10,9
1,7:53.0,J. Harris misses 3-pt jump shot from 27 ft,,10,9
1,7:53.0,,Defensive rebound by Team,10,9
1,7:40.0,,S. Ibaka misses 3-pt jump shot from 26 ft,10,9
1,7:37.0,Defensive rebound by D. Russell,,10,9
1,7:25.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),,12,9
1,7:16.0,,K. Leonard makes 2-pt layup from 1 ft (assist by K. Lowry),12,11
1,7:06.0,T. Graham misses 3-pt jump shot from 25 ft,,12,11
1,7:04.0,,Defensive rebound by S. Ibaka,12,11
1,6:54.0,,K. Leonard makes 2-pt jump shot from 16 ft,12,13
1,6:42.0,D. Russell makes 2-pt layup at rim,,14,13
1,6:25.0,,K. Leonard makes 2-pt jump shot from 13 ft,14,15
1,6:25.0,Brooklyn full timeout,,14,15
1,6:13.0,T. Graham misses 3-pt jump shot from 26 ft,,14,15
1,6:11.0,,Defensive rebound by D. Green,14,15
1,6:04.0,,K. Leonard misses 3-pt jump shot from 27 ft,14,15
1,6:02.0,Defensive rebound by D. Russell,,14,15
1,5:57.0,T. Graham makes 2-pt layup from 1 ft (assist by D. Russell),,16,15
1,5:34.0,,K. Leonard misses 2-pt jump shot from 11 ft,16,15
1,5:32.0,Defensive rebound by J. Harris,,16,15
1,5:27.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),,19,15
1,5:11.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. Green),19,17
1,4:59.0,D. Russell makes 2-pt jump shot from 13 ft,,21,17
1,4:40.0,,P. Siakam misses 2-pt hook shot from 6 ft,21,17
1,4:38.0,Defensive rebound by D. Russell,,21,17
1,4:33.0,Personal foul by P. Siakam (drawn by J. Allen),,21,17
1,4:33.0,D. Carroll enters the game for R. Kurucs,,21,17
1,4:33.0,S. Dinwiddie enters the game for D. Russell,,21,17
1,4:33.0,,F. VanVleet enters the game for K. Lowry,21,17
1,4:25.0,Turnover by J. Harris (bad pass; steal by K. Leonard),,21,17
1,4:21.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by K. Leonard),21,20
1,4:02.0,S. Dinwiddie misses 2-pt jump shot from 15 ft,,21,20
1,4:00.0,,Defensive rebound by P. Siakam,21,20
1,3:54.0,,Turnover by P. Siakam (bad pass; steal by J. Allen),21,20
1,3:48.0,D. Carroll misses 2-pt layup from 4 ft,,21,20
1,3:48.0,,Defensive rebound by Team,21,20
1,3:48.0,Loose ball foul by J. Allen (drawn by D. Green),,21,20
1,3:48.0,E. Davis enters the game for J. Allen,,21,20
1,3:48.0,S. Napier enters the game for T. Graham,,21,20
1,3:29.0,,F. VanVleet makes 3-pt jump shot from 25 ft (assist by D. Green),21,23
1,3:01.0,S. Dinwiddie misses 2-pt jump shot from 16 ft,,21,23
1,2:58.0,,Defensive rebound by K. Leonard,21,23
1,2:53.0,,Shooting foul by J. Harris (drawn by D. Green),21,23
1,2:53.0,,Toronto full timeout,21,23
1,2:53.0,D. Russell enters the game for J. Harris,,21,23
1,2:53.0,,O. Anunoby enters the game for K. Leonard,21,23
1,2:53.0,,N. Powell enters the game for P. Siakam,21,23
1,2:53.0,,D. Green makes free throw 1 of 2,21,24
1,2:53.0,,D. Green makes free throw 2 of 2,21,25
1,2:42.0,Turnover by S. Napier (bad pass),,21,25
1,2:18.0,,Turnover by S. Ibaka (lost ball; steal by S. Dinwiddie),21,25
1,2:09.0,S. Napier makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,24,25
1,1:52.0,,S. Ibaka misses 2-pt layup from 2 ft,24,25
1,1:50.0,Defensive rebound by E. Davis,,24,25
1,1:46.0,D. Carroll misses 2-pt jump shot from 22 ft,,24,25
1,1:44.0,,Defensive rebound by D. Green,24,25
1,1:39.0,,F. VanVleet misses 2-pt layup from 1 ft,24,25
1,1:37.0,Defensive rebound by D. Russell,,24,25
1,1:31.0,S. Napier makes 2-pt layup from 2 ft (assist by D. Russell),,26,25
1,1:16.0,,Turnover by S. Ibaka (traveling),26,25
1,1:16.0,,K. Lowry enters the game for D. Green,26,25
1,1:16.0,,G. Monroe enters the game for S. Ibaka,26,25
1,1:05.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by D. Russell),,29,25
1,1:05.0,Shooting foul by N. Powell (drawn by D. Carroll),,29,25
1,1:05.0,D. Carroll makes free throw 1 of 1,,30,25
1,0:56.0,,N. Powell misses 3-pt jump shot from 24 ft,30,25
1,0:54.0,Defensive rebound by E. Davis,,30,25
1,0:48.0,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by S. Napier),,33,25
1,0:31.0,,Shooting foul by E. Davis (drawn by O. Anunoby),33,25
1,0:31.0,,O. Anunoby misses free throw 1 of 2,33,25
1,0:31.0,,Offensive rebound by Team,33,25
1,0:31.0,,O. Anunoby makes free throw 2 of 2,33,26
1,0:15.0,S. Napier makes 2-pt hook shot from 5 ft (assist by S. Dinwiddie),,35,26
1,0:01.0,,G. Monroe makes 2-pt layup from 2 ft (assist by K. Lowry),35,28
2,11:39.0,,O. Anunoby makes 2-pt dunk at rim (assist by G. Monroe),35,30
2,11:27.0,D. Russell misses 3-pt jump shot from 28 ft,,35,30
2,11:24.0,,Defensive rebound by G. Monroe,35,30
2,11:16.0,,G. Monroe misses 2-pt hook shot from 3 ft,35,30
2,11:13.0,Defensive rebound by E. Davis,,35,30
2,11:06.0,E. Davis makes 2-pt layup from 2 ft (assist by S. Napier),,37,30
2,10:53.0,,N. Powell makes 2-pt jump shot from 9 ft (assist by F. VanVleet),37,32
2,10:53.0,,Shooting foul by S. Napier (drawn by N. Powell),37,32
2,10:53.0,,N. Powell makes free throw 1 of 1,37,33
2,10:39.0,Turnover by D. Carroll (lost ball; steal by K. Lowry),,37,33
2,10:37.0,,N. Powell makes 2-pt layup at rim,37,35
2,10:36.0,Brooklyn full timeout,,37,35
2,10:25.0,Shooting foul by F. VanVleet (drawn by E. Davis),,37,35
2,10:25.0,E. Davis misses free throw 1 of 2,,37,35
2,10:25.0,Offensive rebound by Team,,37,35
2,10:25.0,J. Harris enters the game for S. Dinwiddie,,37,35
2,10:25.0,E. Davis makes free throw 2 of 2,,38,35
2,10:13.0,,N. Powell misses 3-pt jump shot from 25 ft,38,35
2,10:10.0,Defensive rebound by S. Napier,,38,35
2,9:57.0,D. Russell makes 2-pt jump shot from 11 ft,,40,35
2,9:44.0,,F. VanVleet misses 3-pt jump shot from 25 ft,40,35
2,9:41.0,Defensive rebound by E. Davis,,40,35
2,9:33.0,S. Napier misses 2-pt layup from 1 ft,,40,35
2,9:32.0,,Defensive rebound by G. Monroe,40,35
2,9:19.0,,Turnover by G. Monroe (bad pass),40,35
2,9:19.0,,D. Wright enters the game for N. Powell,40,35
2,9:02.0,D. Carroll misses 3-pt jump shot from 23 ft,,40,35
2,9:00.0,,Defensive rebound by D. Wright,40,35
2,8:57.0,,Personal foul by S. Napier (drawn by F. VanVleet),40,35
2,8:41.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by F. VanVleet),40,38
2,8:21.0,Shooting foul by K. Lowry (drawn by D. Russell),,40,38
2,8:21.0,D. Russell makes free throw 1 of 2,,41,38
2,8:21.0,S. Dinwiddie enters the game for S. Napier,,41,38
2,8:21.0,D. Russell makes free throw 2 of 2,,42,38
2,7:59.0,,G. Monroe makes 2-pt hook shot from 2 ft (assist by F. VanVleet),42,40
2,7:47.0,Turnover by E. Davis (out of bounds lost ball),,42,40
2,7:41.0,,F. VanVleet misses 2-pt jump shot from 10 ft,42,40
