QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
1,11:51.0,,K. Irving makes 2-pt jump shot from 22 ft (assist by M. Smart),0,2
1,11:37.0,Turnover by K. Huerter (bad pass; steal by J. Tatum),,0,2
1,11:32.0,,M. Smart makes 2-pt layup from 1 ft (assist by J. Tatum),0,4
1,11:20.0,K. Huerter misses 3-pt jump shot from 26 ft,,0,4
1,11:18.0,Offensive rebound by D. Dedmon,,0,4
1,11:15.0,D. Dedmon misses 2-pt layup from 2 ft,,0,4
1,11:14.0,Offensive rebound by J. Collins,,0,4
1,11:13.0,J. Collins makes 2-pt layup at rim,,2,4
1,11:04.0,,K. Irving makes 2-pt jump shot from 10 ft,2,6
1,10:54.0,T. Young makes 2-pt layup from 2 ft,,4,6
1,10:35.0,,Turnover by A. Horford (lost ball; steal by J. Collins),4,6
1,10:31.0,T. Prince misses 3-pt jump shot from 26 ft,,4,6
1,10:29.0,Offensive rebound by T. Young,,4,6
1,10:20.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Young),,6,6
1,10:04.0,,M. Smart makes 2-pt layup from 1 ft (assist by J. Tatum),6,8
1,9:50.0,Personal foul by K. Irving (drawn by T. Young),,6,8
1,9:42.0,J. Collins misses 2-pt dunk from 3 ft,,6,8
1,9:40.0,,Defensive rebound by K. Irving,6,8
1,9:34.0,,Turnover by A. Horford (lost ball; steal by D. Dedmon),6,8
1,9:30.0,Turnover by J. Collins (bad pass; steal by M. Morris),,6,8
1,9:26.0,,M. Morris misses 2-pt layup from 2 ft (block by J. Collins),6,8
1,9:25.0,,Offensive rebound by Team,6,8
1,9:25.0,,Away from play foul by T. Prince (drawn by M. Smart),6,8
1,9:25.0,,M. Smart makes free throw 1 of 1,6,9
1,9:18.0,,K. Irving misses 3-pt jump shot from 28 ft,6,9
1,9:16.0,Defensive rebound by D. Dedmon,,6,9
1,9:06.0,J. Collins makes 2-pt jump shot from 14 ft,,8,9
1,8:53.0,,J. Tatum makes 2-pt layup from 3 ft (assist by K. Irving),8,11
1,8:39.0,T. Young makes 3-pt jump shot from 30 ft,,11,11
1,8:25.0,,K. Irving misses 2-pt jump shot from 18 ft,11,11
1,8:23.0,Defensive rebound by D. Dedmon,,11,11
1,8:14.0,T. Young makes 2-pt jump shot from 9 ft,,13,11
1,8:03.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by M. Smart),13,13
1,7:44.0,Turnover by D. Dedmon (bad pass; steal by K. Irving),,13,13
1,7:41.0,,Turnover by J. Tatum (lost ball; steal by T. Young),13,13
1,7:34.0,T. Young makes 2-pt jump shot from 3 ft,,15,13
1,7:26.0,,K. Irving makes 2-pt layup from 3 ft,15,15
1,7:17.0,T. Young misses 3-pt jump shot from 33 ft,,15,15
1,7:15.0,,Defensive rebound by J. Tatum,15,15
1,7:08.0,,K. Irving makes 3-pt jump shot from 23 ft (assist by M. Smart),15,18
1,7:08.0,Atlanta full timeout,,15,18
1,6:55.0,T. Prince makes 2-pt layup from 3 ft (assist by D. Dedmon),,17,18
1,6:37.0,,Shooting foul by D. Dedmon (drawn by M. Morris),17,18
1,6:37.0,,M. Morris makes free throw 1 of 2,17,19
1,6:37.0,,M. Morris makes free throw 2 of 2,17,20
1,6:19.0,T. Prince makes 3-pt jump shot from 25 ft (assist by J. Collins),,20,20
1,6:00.0,,J. Tatum makes 2-pt jump shot from 17 ft,20,22
1,5:44.0,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Young),,23,22
1,5:24.0,,M. Morris misses 2-pt jump shot from 17 ft,23,22
1,5:22.0,Defensive rebound by K. Huerter,,23,22
1,5:15.0,J. Collins misses 2-pt jump shot from 9 ft (block by A. Horford),,23,22
1,5:13.0,Offensive rebound by J. Collins,,23,22
1,5:10.0,K. Huerter makes 2-pt layup from 3 ft (assist by J. Collins),,25,22
1,5:08.0,,K. Irving misses 3-pt jump shot from 31 ft,25,22
1,5:06.0,Defensive rebound by D. Dedmon,,25,22
1,4:58.0,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),,27,22
1,4:58.0,,Boston full timeout,27,22
1,4:58.0,K. Bazemore enters the game for D. Dedmon,,27,22
1,4:58.0,A. Len enters the game for K. Huerter,,27,22
1,4:58.0,,A. Baynes enters the game for A. Horford,27,22
1,4:58.0,,G. Hayward enters the game for M. Morris,27,22
1,4:58.0,,T. Rozier enters the game for M. Smart,27,22
1,4:42.0,,K. Irving makes 2-pt jump shot from 14 ft,27,24
1,4:24.0,T. Prince misses 2-pt jump shot from 11 ft,,27,24
1,4:22.0,,Defensive rebound by A. Baynes,27,24
1,4:10.0,,A. Baynes makes 3-pt jump shot from 26 ft (assist by T. Rozier),27,27
1,4:10.0,V. Carter enters the game for J. Collins,,27,27
1,4:10.0,,J. Brown enters the game for G. Hayward,27,27
1,3:45.0,T. Prince misses 2-pt layup from 4 ft,,27,27
1,3:44.0,Offensive rebound by A. Len,,27,27
1,3:43.0,A. Len makes 2-pt layup from 1 ft,,29,27
1,3:43.0,Shooting foul by A. Baynes (drawn by A. Len),,29,27
1,3:43.0,A. Len makes free throw 1 of 1,,30,27
1,3:32.0,,T. Rozier makes 3-pt jump shot from 26 ft (assist by J. Brown),30,30
1,3:20.0,Turnover by T. Young (lost ball; steal by T. Rozier),,30,30
1,3:15.0,,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),30,32
1,2:57.0,A. Len misses 2-pt layup from 2 ft,,30,32
1,2:55.0,,Defensive rebound by K. Irving,30,32
1,2:50.0,,J. Brown makes 3-pt jump shot from 25 ft (assist by J. Tatum),30,35
1,2:27.0,T. Prince misses 2-pt jump shot from 8 ft (block by K. Irving),,30,35
1,2:25.0,Offensive rebound by A. Len,,30,35
1,2:23.0,A. Len misses 3-pt jump shot from 25 ft,,30,35
1,2:21.0,,Defensive rebound by J. Brown,30,35
1,2:19.0,,J. Tatum misses 3-pt jump shot from 23 ft,30,35
1,2:17.0,Defensive rebound by T. Young,,30,35
1,2:13.0,Shooting foul by J. Brown (drawn by T. Prince),,30,35
1,2:13.0,T. Prince makes free throw 1 of 2,,31,35
1,2:13.0,J. Adams enters the game for T. Young,,31,35
1,2:13.0,T. Prince makes free throw 2 of 2,,32,35
1,1:59.0,,K. Irving misses 3-pt jump shot from 25 ft,32,35
1,1:56.0,Defensive rebound by A. Len,,32,35
1,1:49.0,T. Prince misses 3-pt jump shot from 24 ft,,32,35
1,1:47.0,,Defensive rebound by A. Baynes,32,35
1,1:32.0,,A. Baynes misses 2-pt layup from 5 ft (block by T. Prince),32,35
1,1:32.0,,Offensive rebound by Team,32,35
