QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
1,11:41.0,,Turnover by D. DeRozan (bad pass; steal by M. Gasol),0,0
1,11:36.0,G. Temple makes 2-pt layup from 2 ft,,2,0
1,11:21.0,,B. Forbes misses 3-pt jump shot from 23 ft,2,0
1,11:21.0,Defensive rebound by M. Gasol,,2,0
1,11:00.0,Turnover by M. Gasol (bad pass),,2,0
1,10:46.0,,Turnover by D. White (out of bounds lost ball),2,0
1,10:33.0,M. Conley misses 2-pt jump shot from 14 ft,,2,0
1,10:31.0,,Defensive rebound by D. White,2,0
1,10:19.0,,D. DeRozan misses 2-pt jump shot from 20 ft,2,0
1,10:18.0,Defensive rebound by M. Gasol,,2,0
1,10:06.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Gasol),,5,0
1,9:50.0,,L. Aldridge makes 2-pt jump shot from 14 ft,5,2
1,9:50.0,,Shooting foul by M. Gasol (drawn by L. Aldridge),5,2
1,9:50.0,,L. Aldridge makes free throw 1 of 1,5,3
1,9:35.0,M. Conley misses 2-pt jump shot from 12 ft,,5,3
1,9:35.0,Offensive rebound by J. Jackson,,5,3
1,9:35.0,Shooting foul by D. White (drawn by J. Jackson),,5,3
1,9:35.0,J. Jackson makes free throw 1 of 2,,6,3
1,9:35.0,J. Jackson makes free throw 2 of 2,,7,3
1,9:15.0,,R. Gay misses 2-pt jump shot from 17 ft,7,3
1,9:12.0,Defensive rebound by K. Anderson,,7,3
1,9:08.0,Personal foul by R. Gay (drawn by J. Jackson),,7,3
1,9:02.0,G. Temple misses 2-pt jump shot from 9 ft,,7,3
1,8:58.0,Offensive rebound by M. Gasol,,7,3
1,8:57.0,M. Gasol misses 2-pt layup at rim,,7,3
1,8:56.0,Offensive rebound by M. Gasol,,7,3
1,8:56.0,M. Gasol misses 2-pt layup at rim,,7,3
1,8:55.0,,Defensive rebound by B. Forbes,7,3
1,8:50.0,,L. Aldridge misses 2-pt jump shot from 17 ft,7,3
1,8:48.0,,Offensive rebound by D. White,7,3
1,8:45.0,,D. White misses 2-pt layup from 10 ft,7,3
1,8:45.0,Defensive rebound by M. Gasol,,7,3
1,8:39.0,M. Conley makes 2-pt layup from 3 ft,,9,3
1,8:39.0,,San Antonio full timeout,9,3
1,8:24.0,,D. White makes 2-pt jump shot from 11 ft (assist by R. Gay),9,5
1,8:00.0,M. Conley makes 3-pt jump shot from 23 ft (assist by K. Anderson),,12,5
1,7:38.0,,D. White makes 3-pt jump shot from 26 ft (assist by L. Aldridge),12,8
1,7:18.0,G. Temple misses 2-pt jump shot from 23 ft,,12,8
1,7:14.0,,Defensive rebound by D. White,12,8
1,7:08.0,,Turnover by D. White (bad pass; steal by J. Jackson),12,8
1,7:03.0,K. Anderson misses 2-pt jump shot from 4 ft,,12,8
1,7:00.0,,Defensive rebound by D. DeRozan,12,8
1,6:52.0,,R. Gay misses 3-pt jump shot from 24 ft,12,8
1,6:49.0,Defensive rebound by K. Anderson,,12,8
1,6:41.0,M. Conley makes 3-pt jump shot from 26 ft (assist by G. Temple),,15,8
1,6:33.0,,San Antonio full timeout,15,8
1,6:33.0,J. Green enters the game for J. Jackson,,15,8
1,6:33.0,,M. Belinelli enters the game for B. Forbes,15,8
1,6:33.0,,D. Bertāns enters the game for R. Gay,15,8
1,6:22.0,,D. White makes 2-pt layup from 3 ft (assist by D. DeRozan),15,10
1,5:56.0,M. Gasol misses 2-pt jump shot from 9 ft,,15,10
1,5:53.0,,Defensive rebound by M. Belinelli,15,10
1,5:46.0,,Turnover by D. DeRozan (bad pass; steal by G. Temple),15,10
1,5:43.0,Turnover by M. Gasol (bad pass),,15,10
1,5:34.0,,M. Belinelli misses 3-pt jump shot from 28 ft,15,10
1,5:32.0,Defensive rebound by M. Gasol,,15,10
1,5:15.0,M. Conley misses 3-pt jump shot from 26 ft,,15,10
1,5:13.0,,Defensive rebound by D. DeRozan,15,10
1,5:00.0,,D. DeRozan misses 2-pt jump shot from 19 ft,15,10
1,4:50.0,Defensive rebound by J. Green,,15,10
