QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CHICAGO_ACTION,NEW ORLEANS_SCORE,CHICAGO_SCORE
1,11:38.0,,R. Lopez makes 2-pt hook shot from 7 ft,0,2
1,11:21.0,J. Holiday misses 3-pt jump shot from 26 ft,,0,2
1,11:18.0,Offensive rebound by F. Jackson,,0,2
1,11:10.0,J. Okafor makes 2-pt dunk from 1 ft (assist by F. Jackson),,2,2
1,10:52.0,,L. Markkanen misses 3-pt jump shot from 27 ft,2,2
1,10:52.0,,Offensive rebound by R. Lopez,2,2
1,10:42.0,,W. Selden makes 3-pt jump shot from 26 ft,2,5
1,10:20.0,F. Jackson makes 2-pt layup from 2 ft,,4,5
1,10:02.0,,K. Dunn makes 3-pt jump shot from 24 ft (assist by Z. LaVine),4,8
1,9:52.0,J. Holiday misses 3-pt jump shot from 24 ft,,4,8
1,9:48.0,,Defensive rebound by K. Dunn,4,8
1,9:39.0,,Z. LaVine makes 2-pt jump shot from 22 ft,4,10
1,9:34.0,New Orleans full timeout,,4,10
1,9:24.0,D. Miller makes 3-pt jump shot from 25 ft,,7,10
1,8:59.0,,L. Markkanen makes 2-pt jump shot from 17 ft (assist by K. Dunn),7,12
1,8:50.0,Personal foul by Z. LaVine (drawn by J. Okafor),,7,12
1,8:49.0,Turnover by F. Jackson (bad pass; steal by K. Dunn),,7,12
1,8:43.0,,K. Dunn makes 2-pt layup from 2 ft,7,14
1,8:29.0,K. Williams makes 3-pt jump shot from 25 ft (assist by J. Holiday),,10,14
1,8:05.0,,L. Markkanen misses 2-pt hook shot from 7 ft,10,14
1,8:01.0,Defensive rebound by K. Williams,,10,14
1,7:55.0,J. Holiday misses 3-pt jump shot from 23 ft,,10,14
1,7:54.0,,Defensive rebound by Team,10,14
1,7:41.0,Violation by Team (kicked ball),,10,14
1,7:35.0,,R. Lopez makes 2-pt hook shot from 8 ft (assist by Z. LaVine),10,16
1,7:11.0,F. Jackson misses 3-pt jump shot from 23 ft,,10,16
1,7:08.0,,Defensive rebound by L. Markkanen,10,16
1,7:06.0,,Turnover by L. Markkanen (bad pass),10,16
1,6:47.0,D. Miller makes 3-pt jump shot from 24 ft (assist by F. Jackson),,13,16
1,6:24.0,,R. Lopez makes 2-pt hook shot from 4 ft,13,18
1,6:04.0,J. Okafor makes 2-pt layup from 2 ft,,15,18
1,5:58.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by W. Selden),15,20
1,5:47.0,D. Miller misses 2-pt jump shot from 18 ft,,15,20
1,5:44.0,,Defensive rebound by R. Lopez,15,20
1,5:38.0,,L. Markkanen makes 2-pt dunk at rim (assist by Z. LaVine),15,22
1,5:22.0,F. Jackson misses 3-pt jump shot from 23 ft,,15,22
1,5:19.0,Offensive rebound by K. Williams,,15,22
1,5:15.0,J. Holiday misses 3-pt jump shot from 26 ft,,15,22
1,5:12.0,,Defensive rebound by L. Markkanen,15,22
1,5:00.0,,Personal foul by K. Williams (drawn by L. Markkanen),15,22
1,5:00.0,I. Clark enters the game for F. Jackson,,15,22
1,5:00.0,J. Randle enters the game for K. Williams,,15,22
1,5:00.0,,T. Luwawu-Cabarrot enters the game for W. Selden,15,22
1,4:55.0,,Shooting foul by J. Randle (drawn by Z. LaVine),15,22
1,4:55.0,,Z. LaVine makes free throw 1 of 2,15,23
1,4:55.0,,Z. LaVine makes free throw 2 of 2,15,24
1,4:41.0,J. Okafor misses 2-pt jump shot from 6 ft,,15,24
1,4:37.0,,Defensive rebound by T. Luwawu-Cabarrot,15,24
1,4:32.0,,Turnover by K. Dunn (bad pass),15,24
1,4:32.0,C. Diallo enters the game for J. Okafor,,15,24
1,4:17.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Randle),,18,24
1,4:05.0,,Shooting foul by D. Miller (drawn by Z. LaVine),18,24
1,4:05.0,,Z. LaVine misses free throw 1 of 2,18,24
1,4:05.0,,Offensive rebound by Team,18,24
1,4:05.0,,Z. LaVine makes free throw 2 of 2,18,25
1,3:50.0,C. Diallo makes 2-pt dunk at rim (assist by I. Clark),,20,25
1,3:41.0,,L. Markkanen misses 2-pt layup from 3 ft (block by J. Holiday),20,25
1,3:41.0,,Offensive rebound by Team,20,25
1,3:36.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by L. Markkanen),20,28
1,3:22.0,J. Holiday misses 3-pt jump shot from 25 ft,,20,28
1,3:18.0,,Defensive rebound by T. Luwawu-Cabarrot,20,28
1,3:11.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 26 ft (assist by Z. LaVine),20,31
1,3:01.0,I. Clark makes 3-pt jump shot from 25 ft (assist by J. Holiday),,23,31
1,2:48.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),23,34
1,2:32.0,C. Diallo makes 2-pt jump shot from 5 ft (assist by D. Miller),,25,34
1,2:17.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by K. Dunn),25,36
1,2:17.0,,Shooting foul by C. Diallo (drawn by T. Luwawu-Cabarrot),25,36
1,2:17.0,,Chicago full timeout,25,36
1,2:17.0,T. Frazier enters the game for J. Holiday,,25,36
1,2:17.0,K. Williams enters the game for D. Miller,,25,36
1,2:17.0,,C. Felício enters the game for R. Lopez,25,36
1,2:17.0,,W. Selden enters the game for L. Markkanen,25,36
1,2:17.0,,T. Luwawu-Cabarrot makes free throw 1 of 1,25,37
1,2:03.0,J. Randle makes 2-pt jump shot from 7 ft,,27,37
1,1:48.0,,Turnover by Z. LaVine (traveling),27,37
1,1:31.0,I. Clark misses 2-pt jump shot from 8 ft,,27,37
1,1:26.0,Offensive rebound by C. Diallo,,27,37
1,1:26.0,C. Diallo makes 2-pt layup from 1 ft,,29,37
1,1:16.0,,Z. LaVine misses 3-pt jump shot from 26 ft,29,37
1,1:12.0,Defensive rebound by J. Randle,,29,37
1,1:10.0,J. Randle makes 2-pt layup from 2 ft,,31,37
1,1:10.0,Shooting foul by W. Selden (drawn by J. Randle),,31,37
1,1:10.0,J. Randle makes free throw 1 of 1,,32,37
1,0:59.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Dunn),32,39
1,0:53.0,Shooting foul by K. Dunn (drawn by T. Frazier),,32,39
1,0:53.0,T. Frazier misses free throw 1 of 2,,32,39
1,0:53.0,Offensive rebound by Team,,32,39
1,0:53.0,T. Frazier makes free throw 2 of 2,,33,39
1,0:42.0,,K. Dunn misses 2-pt jump shot from 11 ft,33,39
1,0:38.0,Defensive rebound by T. Frazier,,33,39
1,0:31.0,J. Randle misses 2-pt jump shot from 3 ft,,33,39
1,0:30.0,Offensive rebound by J. Randle,,33,39
1,0:30.0,J. Randle makes 2-pt layup from 1 ft,,35,39
1,0:10.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,35,39
1,0:07.0,,Offensive rebound by C. Felício,35,39
1,0:06.0,,C. Felício misses 2-pt layup from 2 ft,35,39
1,0:04.0,Defensive rebound by J. Randle,,35,39
1,0:01.0,K. Williams makes 2-pt dunk from 1 ft (assist by T. Frazier),,37,39
1,0:00.0,,Z. LaVine misses 3-pt jump shot from 50 ft,37,39
1,0:00.0,,Offensive rebound by Team,37,39
2,11:44.0,Turnover by J. Randle (traveling),,37,39
2,11:33.0,,T. Luwawu-Cabarrot misses 2-pt layup from 4 ft (block by C. Diallo),37,39
2,11:33.0,,Offensive rebound by Team,37,39
2,11:33.0,,L. Markkanen enters the game for W. Selden,37,39
2,11:20.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,37,39
2,11:18.0,Defensive rebound by C. Diallo,,37,39
2,11:14.0,Personal foul by T. Luwawu-Cabarrot (drawn by T. Frazier),,37,39
2,11:01.0,C. Diallo misses 2-pt jump shot from 14 ft,,37,39
2,10:59.0,,Defensive rebound by R. Arcidiacono,37,39
2,10:43.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,37,39
2,10:39.0,Defensive rebound by K. Williams,,37,39
2,10:30.0,J. Randle misses 2-pt layup from 2 ft,,37,39
2,10:27.0,,Defensive rebound by L. Markkanen,37,39
2,10:26.0,,Offensive foul by L. Markkanen (drawn by K. Williams),37,39
2,10:26.0,,Turnover by L. Markkanen (offensive foul),37,39
2,10:09.0,K. Williams misses 3-pt jump shot from 26 ft,,37,39
2,10:05.0,,Defensive rebound by R. Arcidiacono,37,39
2,9:55.0,,C. Felício makes 2-pt layup from 1 ft (assist by S. Harrison),37,41
2,9:42.0,I. Clark misses 3-pt jump shot from 24 ft,,37,41
2,9:42.0,,Defensive rebound by C. Felício,37,41
2,9:22.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,37,41
2,9:20.0,Defensive rebound by K. Williams,,37,41
2,9:11.0,I. Clark makes 2-pt layup from 2 ft (assist by T. Frazier),,39,41
2,9:00.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),39,44
2,8:55.0,New Orleans full timeout,,39,44
2,8:55.0,D. Miller enters the game for C. Diallo,,39,44
2,8:55.0,J. Okafor enters the game for J. Randle,,39,44
2,8:55.0,,K. Dunn enters the game for T. Luwawu-Cabarrot,39,44
2,8:44.0,Turnover by I. Clark (bad pass; steal by S. Harrison),,39,44
2,8:37.0,,C. Felício makes 2-pt dunk from 1 ft (assist by K. Dunn),39,46
2,8:37.0,,Technical foul by C. Felício,39,46
2,8:37.0,I. Clark makes technical free throw,,40,46
2,8:16.0,D. Miller makes 3-pt jump shot from 25 ft (assist by K. Williams),,43,46
2,7:55.0,,L. Markkanen misses 2-pt jump shot from 3 ft,43,46
2,7:54.0,,Offensive rebound by C. Felício,43,46
2,7:54.0,,Personal foul by T. Frazier (drawn by C. Felício),43,46
2,7:43.0,,R. Arcidiacono makes 3-pt jump shot from 24 ft (assist by L. Markkanen),43,49
2,7:20.0,T. Frazier makes 2-pt jump shot from 4 ft (assist by D. Miller),,45,49
2,6:56.0,,L. Markkanen makes 3-pt jump shot from 24 ft (assist by S. Harrison),45,52
2,6:46.0,Turnover by I. Clark (lost ball; steal by R. Arcidiacono),,45,52
2,6:40.0,,K. Dunn makes 2-pt layup from 1 ft,45,54
2,6:14.0,Turnover by Team (shot clock),,45,54
2,6:14.0,J. Holiday enters the game for I. Clark,,45,54
2,6:14.0,J. Randle enters the game for K. Williams,,45,54
2,6:14.0,,Z. LaVine enters the game for R. Arcidiacono,45,54
2,6:14.0,,R. Lopez enters the game for C. Felício,45,54
2,5:54.0,,Z. LaVine makes 2-pt jump shot from 22 ft (assist by R. Lopez),45,56
2,5:38.0,J. Okafor makes 2-pt layup from 1 ft,,47,56
2,5:25.0,,K. Dunn misses 2-pt layup from 1 ft,47,56
2,5:25.0,Defensive rebound by Team,,47,56
2,5:18.0,J. Randle makes 2-pt layup from 1 ft (assist by J. Holiday),,49,56
2,5:16.0,,Chicago full timeout,49,56
2,5:16.0,F. Jackson enters the game for T. Frazier,,49,56
