QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,BOSTON_ACTION,SAN ANTONIO_SCORE,BOSTON_SCORE
1,11:47.0,L. Aldridge makes 2-pt jump shot from 22 ft (assist by D. DeRozan),,2,0
1,11:30.0,,A. Baynes makes 2-pt hook shot from 1 ft (assist by K. Irving),2,2
1,11:16.0,Turnover by D. DeRozan (bad pass; steal by A. Baynes),,2,2
1,11:09.0,,K. Irving misses 2-pt layup from 1 ft,2,2
1,11:05.0,Defensive rebound by L. Aldridge,,2,2
1,10:54.0,D. White makes 2-pt jump shot from 13 ft (assist by L. Aldridge),,4,2
1,10:35.0,,M. Morris makes 2-pt jump shot from 19 ft,4,4
1,10:15.0,L. Aldridge misses 2-pt jump shot from 17 ft,,4,4
1,10:13.0,,Defensive rebound by G. Hayward,4,4
1,10:03.0,,M. Morris makes 2-pt layup at rim (assist by G. Hayward),4,6
1,9:53.0,D. DeRozan misses 2-pt jump shot from 13 ft,,4,6
1,9:52.0,,Defensive rebound by A. Baynes,4,6
1,9:44.0,,K. Irving misses 3-pt jump shot from 26 ft,4,6
1,9:42.0,Defensive rebound by B. Forbes,,4,6
1,9:26.0,L. Aldridge makes 2-pt jump shot from 12 ft,,6,6
1,9:16.0,,Offensive foul by A. Baynes (drawn by D. DeRozan),6,6
1,9:16.0,,Turnover by A. Baynes (offensive foul),6,6
1,9:01.0,L. Aldridge makes 2-pt jump shot from 12 ft,,8,6
1,8:42.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by K. Irving),8,8
1,8:28.0,L. Aldridge misses 2-pt jump shot from 20 ft,,8,8
1,8:26.0,,Defensive rebound by K. Irving,8,8
1,8:20.0,,K. Irving makes 2-pt layup from 1 ft,8,10
1,8:13.0,San Antonio full timeout,,8,10
1,8:13.0,,G. Yabusele enters the game for A. Baynes,8,10
1,8:02.0,D. White misses 2-pt jump shot from 18 ft,,8,10
1,8:00.0,Offensive rebound by J. Poeltl,,8,10
1,7:48.0,J. Poeltl misses 2-pt hook shot from 4 ft,,8,10
1,7:45.0,Offensive rebound by J. Poeltl,,8,10
1,7:44.0,J. Poeltl misses 2-pt layup at rim,,8,10
1,7:43.0,Offensive rebound by J. Poeltl,,8,10
1,7:32.0,B. Forbes misses 3-pt jump shot from 26 ft,,8,10
1,7:28.0,,Defensive rebound by M. Morris,8,10
1,7:12.0,,G. Hayward misses 3-pt jump shot from 25 ft,8,10
1,7:10.0,Defensive rebound by J. Poeltl,,8,10
1,6:54.0,L. Aldridge makes 2-pt jump shot from 15 ft,,10,10
1,6:46.0,,Personal foul by D. White (drawn by K. Irving),10,10
1,6:44.0,,Offensive foul by M. Morris (drawn by D. White),10,10
1,6:44.0,,Turnover by M. Morris (offensive foul),10,10
1,6:29.0,L. Aldridge makes 2-pt jump shot from 11 ft,,12,10
1,6:15.0,,M. Smart makes 2-pt layup from 4 ft,12,12
1,5:53.0,D. White misses 3-pt jump shot from 24 ft,,12,12
1,5:51.0,,Defensive rebound by M. Morris,12,12
1,5:39.0,,M. Morris makes 2-pt jump shot from 19 ft (assist by M. Smart),12,14
1,5:19.0,B. Forbes makes 2-pt jump shot from 8 ft (assist by D. DeRozan),,14,14
1,5:06.0,,M. Smart misses 2-pt layup from 5 ft (block by D. DeRozan),14,14
1,5:03.0,Defensive rebound by J. Poeltl,,14,14
1,4:57.0,L. Aldridge makes 2-pt hook shot from 2 ft (assist by D. DeRozan),,16,14
1,4:44.0,,G. Yabusele misses 3-pt jump shot from 23 ft,16,14
1,4:41.0,Defensive rebound by D. White,,16,14
1,4:35.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. White),,18,14
1,4:16.0,,M. Morris misses 3-pt jump shot from 25 ft,18,14
1,4:12.0,,Offensive rebound by M. Smart,18,14
1,4:10.0,,M. Smart makes 2-pt layup from 1 ft,18,16
1,3:53.0,L. Aldridge misses 2-pt jump shot from 10 ft,,18,16
1,3:49.0,,Defensive rebound by G. Hayward,18,16
1,3:39.0,,Shooting foul by D. White (drawn by G. Yabusele),18,16
1,3:39.0,,G. Yabusele makes free throw 1 of 2,18,17
1,3:39.0,M. Belinelli enters the game for B. Forbes,,18,17
1,3:39.0,R. Gay enters the game for J. Poeltl,,18,17
1,3:39.0,P. Mills enters the game for D. White,,18,17
1,3:39.0,,J. Brown enters the game for G. Hayward,18,17
1,3:39.0,,G. Yabusele makes free throw 2 of 2,18,18
1,3:27.0,L. Aldridge makes 2-pt hook shot from 7 ft,,20,18
1,3:27.0,Shooting foul by G. Yabusele (drawn by L. Aldridge),,20,18
1,3:27.0,D. Bertāns enters the game for D. DeRozan,,20,18
1,3:27.0,,A. Baynes enters the game for G. Yabusele,20,18
1,3:27.0,L. Aldridge makes free throw 1 of 1,,21,18
1,3:12.0,,A. Baynes misses 2-pt layup from 3 ft,21,18
1,3:10.0,Defensive rebound by L. Aldridge,,21,18
