QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
1,11:40.0,M. Gortat makes 2-pt jump shot from 10 ft (assist by D. Gallinari),,2,0
1,11:20.0,,Turnover by N. Jokić (bad pass),2,0
1,11:08.0,T. Harris misses 2-pt jump shot from 12 ft,,2,0
1,11:04.0,,Defensive rebound by P. Millsap,2,0
1,10:58.0,,P. Millsap makes 2-pt hook shot from 4 ft,2,2
1,10:49.0,Personal foul by N. Jokić (drawn by S. Gilgeous-Alexander),,2,2
1,10:41.0,D. Gallinari misses 2-pt jump shot from 18 ft,,2,2
1,10:38.0,,Defensive rebound by J. Murray,2,2
1,10:25.0,,Shooting foul by M. Gortat (drawn by N. Jokić),2,2
1,10:25.0,,N. Jokić misses free throw 1 of 2,2,2
1,10:25.0,,Offensive rebound by Team,2,2
1,10:25.0,,N. Jokić makes free throw 2 of 2,2,3
1,10:04.0,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by A. Bradley),,5,3
1,9:47.0,,T. Craig makes 3-pt jump shot from 22 ft (assist by M. Beasley),5,6
1,9:29.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Craig),,5,6
1,9:24.0,,T. Craig makes 2-pt dunk at rim (assist by J. Murray),5,8
1,9:10.0,D. Gallinari misses 2-pt layup from 4 ft (block by N. Jokić),,5,8
1,9:10.0,Offensive rebound by Team,,5,8
1,9:00.0,T. Harris makes 2-pt jump shot from 12 ft (assist by S. Gilgeous-Alexander),,7,8
1,8:41.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),7,10
1,8:31.0,T. Harris misses 3-pt jump shot from 24 ft,,7,10
1,8:29.0,,Defensive rebound by P. Millsap,7,10
1,8:21.0,,P. Millsap misses 2-pt jump shot from 11 ft,7,10
1,8:19.0,Defensive rebound by T. Harris,,7,10
1,8:11.0,D. Gallinari makes 3-pt jump shot from 24 ft (assist by T. Harris),,10,10
1,7:52.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by N. Jokić),10,13
1,7:37.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Beasley),,10,13
1,7:28.0,,M. Beasley makes 2-pt jump shot from 6 ft,10,15
1,7:28.0,LA Clippers full timeout,,10,15
1,7:11.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by A. Bradley),,13,15
