QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
1,11:42.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by A. Gordon),,2,0
1,11:29.0,,P. Millsap makes 2-pt layup from 3 ft (assist by N. Jokić),2,2
1,11:16.0,Turnover by N. Vučević (bad pass; steal by N. Jokić),,2,2
1,11:05.0,,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),2,4
1,10:37.0,Turnover by Team (shot clock),,2,4
1,10:22.0,,G. Harris misses 2-pt layup from 4 ft,2,4
1,10:18.0,,Offensive rebound by N. Jokić,2,4
1,10:15.0,,P. Millsap misses 2-pt jump shot from 16 ft,2,4
1,10:13.0,,Offensive rebound by N. Jokić,2,4
1,10:10.0,,Turnover by J. Murray (lost ball; steal by N. Vučević),2,4
1,10:05.0,N. Vučević misses 3-pt jump shot from 26 ft,,2,4
1,10:02.0,Offensive rebound by Team,,2,4
1,9:52.0,W. Iwundu makes 3-pt jump shot from 25 ft (assist by A. Gordon),,5,4
1,9:37.0,,G. Harris misses 2-pt jump shot from 5 ft,5,4
1,9:35.0,Defensive rebound by N. Vučević,,5,4
1,9:30.0,A. Gordon misses 2-pt hook shot from 3 ft,,5,4
1,9:27.0,,Defensive rebound by N. Jokić,5,4
1,9:13.0,,P. Millsap misses 2-pt layup from 2 ft,5,4
1,9:09.0,Defensive rebound by D. Augustin,,5,4
1,8:54.0,N. Vučević misses 2-pt hook shot from 5 ft,,5,4
1,8:52.0,,Defensive rebound by P. Millsap,5,4
1,8:43.0,,Personal foul by E. Fournier (drawn by N. Jokić),5,4
1,8:35.0,,G. Harris misses 2-pt jump shot from 21 ft,5,4
1,8:34.0,,Offensive rebound by P. Millsap,5,4
1,8:34.0,,Shooting foul by W. Iwundu (drawn by J. Murray),5,4
1,8:34.0,,J. Murray misses free throw 1 of 2,5,4
1,8:34.0,,Offensive rebound by Team,5,4
1,8:34.0,,J. Murray makes free throw 2 of 2,5,5
1,8:19.0,E. Fournier misses 2-pt layup from 3 ft,,5,5
1,8:15.0,,Defensive rebound by N. Jokić,5,5
1,8:10.0,,P. Millsap misses 2-pt jump shot from 4 ft,5,5
1,8:09.0,,Offensive rebound by Team,5,5
1,8:02.0,,J. Murray makes 2-pt jump shot from 6 ft (assist by N. Jokić),5,7
1,7:42.0,Turnover by E. Fournier (lost ball; steal by P. Millsap),,5,7
1,7:37.0,,G. Harris misses 2-pt layup from 5 ft,5,7
1,7:32.0,Defensive rebound by N. Vučević,,5,7
1,7:27.0,N. Vučević misses 2-pt hook shot from 4 ft,,5,7
1,7:24.0,,Defensive rebound by P. Millsap,5,7
1,7:13.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),5,9
1,7:02.0,E. Fournier misses 3-pt jump shot from 26 ft,,5,9
1,6:59.0,,Defensive rebound by P. Millsap,5,9
1,6:44.0,,Turnover by J. Murray (bad pass; steal by E. Fournier),5,9
1,6:38.0,A. Gordon misses 2-pt jump shot from 3 ft,,5,9
1,6:34.0,,Defensive rebound by N. Jokić,5,9
1,6:31.0,,Shooting foul by W. Iwundu (drawn by P. Millsap),5,9
1,6:31.0,,Denver full timeout,5,9
1,6:31.0,J. Isaac enters the game for W. Iwundu,,5,9
1,6:31.0,,P. Millsap makes free throw 1 of 2,5,10
1,6:31.0,,P. Millsap makes free throw 2 of 2,5,11
1,6:18.0,D. Augustin misses 3-pt jump shot from 25 ft (block by J. Murray),,5,11
1,6:14.0,,Defensive rebound by N. Jokić,5,11
1,6:12.0,,Turnover by J. Murray (lost ball; steal by E. Fournier),5,11
1,6:05.0,J. Isaac makes 2-pt layup from 2 ft (assist by A. Gordon),,7,11
1,5:49.0,,Turnover by G. Harris (lost ball),7,11
1,5:49.0,,M. Morris enters the game for J. Murray,7,11
1,5:25.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),,9,11
1,5:08.0,,P. Millsap makes 2-pt dunk from 1 ft (assist by J. Hernangómez),9,13
1,4:42.0,J. Isaac misses 2-pt jump shot from 8 ft,,9,13
1,4:40.0,,Defensive rebound by J. Hernangómez,9,13
1,4:24.0,,G. Harris misses 2-pt layup from 3 ft,9,13
1,4:21.0,Defensive rebound by A. Gordon,,9,13
1,4:19.0,N. Vučević makes 2-pt layup from 1 ft (assist by A. Gordon),,11,13
1,4:10.0,,N. Jokić misses 3-pt jump shot from 26 ft,11,13
1,4:08.0,Defensive rebound by A. Gordon,,11,13
1,4:03.0,Shooting foul by P. Millsap (drawn by A. Gordon),,11,13
1,4:03.0,,M. Plumlee enters the game for N. Jokić,11,13
1,4:03.0,A. Gordon makes free throw 1 of 2,,12,13
1,4:03.0,J. Grant enters the game for D. Augustin,,12,13
1,4:03.0,T. Ross enters the game for E. Fournier,,12,13
1,4:03.0,A. Gordon makes free throw 2 of 2,,13,13
1,3:53.0,,G. Harris misses 3-pt jump shot from 26 ft,13,13
1,3:52.0,Defensive rebound by J. Isaac,,13,13
1,3:40.0,A. Gordon makes 2-pt layup from 3 ft,,15,13
1,3:16.0,,J. Hernangómez misses 3-pt jump shot from 24 ft,15,13
1,3:14.0,Defensive rebound by N. Vučević,,15,13
1,3:02.0,J. Isaac misses 3-pt jump shot from 23 ft,,15,13
1,3:00.0,,Defensive rebound by J. Hernangómez,15,13
1,2:52.0,,Shooting foul by J. Isaac (drawn by J. Hernangómez),15,13
1,2:52.0,Orlando full timeout,,15,13
1,2:52.0,M. Bamba enters the game for A. Gordon,,15,13
1,2:52.0,W. Iwundu enters the game for N. Vučević,,15,13
1,2:52.0,,T. Lyles enters the game for G. Harris,15,13
1,2:52.0,,J. Murray enters the game for P. Millsap,15,13
1,2:52.0,,J. Hernangómez makes free throw 1 of 2,15,14
1,2:52.0,,J. Hernangómez makes free throw 2 of 2,15,15
1,2:30.0,M. Bamba misses 2-pt jump shot from 6 ft,,15,15
1,2:28.0,,Defensive rebound by T. Lyles,15,15
1,2:20.0,,T. Lyles makes 2-pt dunk from 1 ft,15,17
1,1:56.0,W. Iwundu misses 3-pt jump shot from 26 ft,,15,17
1,1:53.0,,Defensive rebound by M. Plumlee,15,17
1,1:39.0,,T. Lyles misses 3-pt jump shot from 23 ft,15,17
1,1:35.0,Defensive rebound by J. Grant,,15,17
1,1:29.0,J. Grant misses 2-pt jump shot from 10 ft,,15,17
1,1:26.0,,Defensive rebound by M. Morris,15,17
1,1:13.0,,T. Lyles makes 2-pt jump shot from 6 ft (assist by M. Morris),15,19
1,0:59.0,Turnover by T. Ross (lost ball; steal by M. Plumlee),,15,19
1,0:55.0,,Personal foul by T. Ross (drawn by T. Lyles),15,19
1,0:55.0,,T. Lyles makes free throw 1 of 2,15,20
1,0:55.0,,M. Beasley enters the game for J. Hernangómez,15,20
1,0:55.0,,T. Lyles makes free throw 2 of 2,15,21
1,0:45.0,T. Ross makes 2-pt jump shot from 14 ft (assist by M. Bamba),,17,21
1,0:33.0,,T. Lyles misses 3-pt jump shot from 25 ft,17,21
1,0:30.0,Defensive rebound by W. Iwundu,,17,21
1,0:23.0,J. Isaac makes 2-pt layup from 3 ft (assist by W. Iwundu),,19,21
1,0:03.0,,J. Murray misses 2-pt jump shot from 13 ft,19,21
1,0:00.0,Defensive rebound by J. Grant,,19,21
1,0:00.0,Personal foul by M. Plumlee (drawn by J. Grant),,19,21
2,11:42.0,,M. Morris misses 2-pt jump shot from 9 ft,19,21
2,11:39.0,,Offensive rebound by M. Morris,19,21
2,11:36.0,,M. Morris misses 2-pt jump shot from 14 ft,19,21
2,11:32.0,,Offensive rebound by T. Lyles,19,21
2,11:32.0,,T. Lyles makes 2-pt layup from 1 ft,19,23
2,11:19.0,T. Ross makes 2-pt jump shot from 18 ft (assist by E. Fournier),,21,23
2,11:00.0,,Turnover by T. Lyles (lost ball; steal by J. Isaac),21,23
2,10:55.0,J. Isaac misses 2-pt layup from 3 ft,,21,23
2,10:50.0,Offensive rebound by J. Isaac,,21,23
2,10:50.0,J. Isaac misses 2-pt layup at rim,,21,23
2,10:47.0,,Defensive rebound by J. Murray,21,23
2,10:45.0,,T. Lyles makes 2-pt dunk from 1 ft (assist by M. Plumlee),21,25
2,10:20.0,Turnover by Team (shot clock),,21,25
2,10:04.0,,T. Lyles misses 2-pt jump shot from 11 ft,21,25
2,10:00.0,Defensive rebound by M. Bamba,,21,25
2,9:50.0,M. Bamba misses 2-pt hook shot from 5 ft,,21,25
2,9:46.0,,Defensive rebound by J. Murray,21,25
2,9:44.0,,J. Murray misses 3-pt jump shot from 26 ft,21,25
2,9:41.0,Defensive rebound by J. Grant,,21,25
2,9:35.0,T. Ross makes 3-pt jump shot from 26 ft (assist by J. Grant),,24,25
2,9:16.0,,M. Plumlee makes 2-pt layup from 2 ft,24,27
2,9:16.0,,Shooting foul by M. Bamba (drawn by M. Plumlee),24,27
2,9:16.0,,J. Hernangómez enters the game for M. Beasley,24,27
2,9:16.0,,M. Plumlee makes free throw 1 of 1,24,28
2,9:03.0,M. Bamba makes 2-pt jump shot from 17 ft (assist by J. Grant),,26,28
2,8:49.0,,M. Morris misses 2-pt layup from 2 ft,26,28
2,8:45.0,Defensive rebound by J. Isaac,,26,28
2,8:41.0,Turnover by J. Grant (bad pass; steal by M. Morris),,26,28
2,8:41.0,,Personal foul by J. Isaac (drawn by M. Morris),26,28
2,8:41.0,A. Gordon enters the game for J. Isaac,,26,28
2,8:29.0,,J. Murray misses 2-pt layup from 4 ft,26,28
2,8:24.0,,M. Plumlee makes 2-pt layup from 1 ft,26,30
2,8:24.0,,Offensive rebound by M. Plumlee,26,30
2,8:06.0,E. Fournier misses 3-pt jump shot from 25 ft,,26,30
2,8:04.0,,Defensive rebound by J. Hernangómez,26,30
2,7:54.0,,T. Lyles misses 3-pt jump shot from 23 ft,26,30
2,7:52.0,Defensive rebound by Team,,26,30
2,7:52.0,,Loose ball foul by J. Hernangómez (drawn by J. Grant),26,30
2,7:52.0,,G. Harris enters the game for J. Murray,26,30
2,7:36.0,M. Bamba misses 3-pt jump shot from 22 ft,,26,30
2,7:32.0,,Defensive rebound by M. Plumlee,26,30
2,7:16.0,,T. Lyles makes 2-pt hook shot from 6 ft,26,32
2,6:59.0,T. Ross makes 3-pt jump shot from 26 ft (assist by M. Bamba),,29,32
2,6:45.0,,M. Plumlee misses 2-pt layup from 4 ft,29,32
2,6:42.0,Defensive rebound by A. Gordon,,29,32
2,6:40.0,J. Grant misses 3-pt jump shot from 25 ft,,29,32
2,6:37.0,,Defensive rebound by M. Plumlee,29,32
2,6:34.0,,Denver full timeout,29,32
2,6:34.0,D. Augustin enters the game for M. Bamba,,29,32
2,6:34.0,N. Vučević enters the game for J. Grant,,29,32
2,6:34.0,,N. Jokić enters the game for T. Lyles,29,32
2,6:34.0,,P. Millsap enters the game for M. Plumlee,29,32
2,6:28.0,Violation by Team (kicked ball),,29,32
2,6:23.0,,Turnover by P. Millsap (lost ball; steal by E. Fournier),29,32
2,6:20.0,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Fournier),,31,32
2,6:03.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by P. Millsap),31,35
2,5:47.0,T. Ross makes 2-pt jump shot from 16 ft (assist by D. Augustin),,33,35
2,5:30.0,,G. Harris misses 3-pt jump shot from 25 ft,33,35
2,5:28.0,Defensive rebound by A. Gordon,,33,35
2,5:21.0,Turnover by T. Ross (lost ball; steal by P. Millsap),,33,35
2,5:21.0,,Personal foul by T. Ross (drawn by G. Harris),33,35
2,5:21.0,,J. Murray enters the game for M. Morris,33,35
2,5:06.0,,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),33,37
2,4:52.0,,Violation by Team (kicked ball),33,37
2,4:52.0,J. Isaac enters the game for T. Ross,,33,37
2,4:47.0,Shooting foul by P. Millsap (drawn by J. Isaac),,33,37
2,4:47.0,J. Isaac makes free throw 1 of 2,,34,37
2,4:47.0,J. Isaac makes free throw 2 of 2,,35,37
2,4:32.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),35,40
2,4:13.0,E. Fournier misses 3-pt jump shot from 26 ft,,35,40
2,4:06.0,Offensive rebound by N. Vučević,,35,40
2,4:06.0,N. Vučević makes 2-pt layup at rim,,37,40
2,3:57.0,,G. Harris makes 2-pt jump shot from 20 ft (assist by N. Jokić),37,42
2,3:44.0,J. Isaac misses 3-pt jump shot from 25 ft,,37,42
2,3:43.0,,Defensive rebound by Team,37,42
2,3:33.0,,Personal foul by J. Isaac (drawn by J. Hernangómez),37,42
2,3:33.0,W. Iwundu enters the game for J. Isaac,,37,42
2,3:26.0,,J. Hernangómez makes 3-pt jump shot from 26 ft (assist by J. Murray),37,45
2,3:06.0,N. Vučević misses 2-pt jump shot from 17 ft,,37,45
2,3:03.0,,Defensive rebound by N. Jokić,37,45
2,2:55.0,,G. Harris makes 2-pt jump shot from 6 ft (assist by N. Jokić),37,47
2,2:48.0,Orlando full timeout,,37,47
2,2:41.0,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Fournier),,39,47
2,2:19.0,,P. Millsap makes 2-pt dunk at rim (assist by G. Harris),39,49
2,1:58.0,N. Vučević makes 2-pt jump shot from 23 ft (assist by A. Gordon),,41,49
2,1:36.0,,N. Jokić misses 2-pt jump shot from 16 ft,41,49
2,1:31.0,Defensive rebound by A. Gordon,,41,49
2,1:24.0,D. Augustin misses 3-pt jump shot from 23 ft (block by P. Millsap),,41,49
2,1:24.0,Offensive rebound by Team,,41,49
2,1:21.0,E. Fournier misses 2-pt layup from 2 ft,,41,49
2,1:19.0,,Defensive rebound by J. Murray,41,49
2,1:13.0,,J. Murray misses 3-pt jump shot from 26 ft,41,49
2,1:12.0,,Offensive rebound by Team,41,49
2,1:12.0,,Personal foul by E. Fournier (drawn by P. Millsap),41,49
2,1:12.0,,P. Millsap makes free throw 1 of 2,41,50
2,1:12.0,,P. Millsap makes free throw 2 of 2,41,51
2,0:59.0,Personal foul by N. Jokić (drawn by N. Vučević),,41,51
2,0:59.0,,M. Plumlee enters the game for P. Millsap,41,51
2,0:53.0,A. Gordon misses 3-pt jump shot from 23 ft,,41,51
2,0:50.0,,Defensive rebound by N. Jokić,41,51
2,0:40.0,,G. Harris misses 3-pt jump shot from 23 ft,41,51
2,0:37.0,Defensive rebound by A. Gordon,,41,51
2,0:22.0,N. Vučević misses 2-pt hook shot from 3 ft (block by M. Plumlee),,41,51
2,0:18.0,,Defensive rebound by G. Harris,41,51
2,0:02.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by J. Murray),41,54
2,0:00.0,D. Augustin misses 3-pt jump shot from 49 ft,,41,54
2,0:00.0,Offensive rebound by Team,,41,54
3,11:51.0,,Personal foul by A. Gordon (drawn by J. Murray),41,54
3,11:41.0,,Turnover by P. Millsap (out of bounds lost ball),41,54
3,11:21.0,D. Augustin makes 3-pt jump shot from 26 ft (assist by E. Fournier),,44,54
3,10:59.0,,J. Murray misses 2-pt jump shot from 17 ft,44,54
3,10:56.0,Defensive rebound by W. Iwundu,,44,54
3,10:43.0,A. Gordon makes 2-pt jump shot from 20 ft,,46,54
3,10:23.0,,J. Murray makes 2-pt jump shot from 14 ft,46,56
3,10:08.0,Personal foul by N. Jokić (drawn by N. Vučević),,46,56
3,9:57.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Augustin),,49,56
3,9:44.0,,N. Jokić makes 2-pt hook shot from 5 ft (assist by J. Murray),49,58
3,9:30.0,Personal foul by P. Millsap (drawn by A. Gordon),,49,58
3,9:27.0,Personal foul by J. Murray (drawn by D. Augustin),,49,58
3,9:16.0,W. Iwundu misses 3-pt jump shot from 24 ft,,49,58
