QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
1,11:40.0,,R. Bullock misses 3-pt jump shot from 28 ft,0,0
1,11:37.0,Defensive rebound by G. Hill,,0,0
1,11:29.0,Personal foul by R. Jackson (drawn by T. Thompson),,0,0
1,11:21.0,C. Frye misses 3-pt jump shot from 25 ft,,0,0
1,11:19.0,,Defensive rebound by R. Jackson,0,0
1,11:17.0,,Personal foul by C. Frye (drawn by B. Griffin),0,0
1,11:04.0,,B. Griffin misses 2-pt layup from 4 ft,0,0
1,11:03.0,,Offensive rebound by B. Griffin,0,0
1,10:59.0,,Personal foul by R. Hood (drawn by B. Griffin),0,0
1,10:50.0,,B. Griffin misses 2-pt jump shot from 16 ft,0,0
1,10:48.0,,Offensive rebound by A. Drummond,0,0
1,10:47.0,,A. Drummond misses 2-pt layup from 1 ft,0,0
1,10:44.0,Defensive rebound by T. Thompson,,0,0
1,10:36.0,Turnover by T. Thompson (bad pass; steal by S. Johnson),,0,0
1,10:30.0,,B. Griffin makes 2-pt layup from 1 ft,0,2
1,10:30.0,,Shooting foul by C. Osman (drawn by B. Griffin),0,2
1,10:30.0,,B. Griffin makes free throw 1 of 1,0,3
1,10:15.0,R. Hood misses 2-pt jump shot from 13 ft,,0,3
1,10:11.0,,Defensive rebound by R. Jackson,0,3
1,10:06.0,,S. Johnson makes 3-pt jump shot from 22 ft (assist by R. Jackson),0,6
1,9:54.0,Personal foul by S. Johnson (drawn by C. Osman),,0,6
1,9:38.0,C. Frye makes 2-pt jump shot from 18 ft,,2,6
1,9:16.0,,R. Bullock misses 3-pt jump shot from 23 ft,2,6
1,9:12.0,,Offensive rebound by A. Drummond,2,6
1,9:12.0,,R. Bullock misses 2-pt layup from 2 ft,2,6
1,9:11.0,,Offensive rebound by Team,2,6
1,9:11.0,,Turnover by R. Bullock (traveling),2,6
1,8:54.0,C. Osman makes 3-pt jump shot from 23 ft,,5,6
1,8:35.0,,A. Drummond misses 2-pt dunk from 2 ft (block by T. Thompson),5,6
1,8:34.0,Defensive rebound by C. Osman,,5,6
1,8:30.0,C. Osman misses 2-pt layup from 2 ft,,5,6
1,8:28.0,Offensive rebound by T. Thompson,,5,6
1,8:26.0,T. Thompson makes 2-pt hook shot from 4 ft,,7,6
1,8:00.0,,Turnover by B. Griffin (lost ball; steal by G. Hill),7,6
1,7:53.0,G. Hill makes 2-pt layup from 1 ft,,9,6
1,7:43.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,6
1,7:41.0,Defensive rebound by G. Hill,,9,6
1,7:41.0,Personal foul by R. Jackson (drawn by R. Hood),,9,6
1,7:41.0,,I. Smith enters the game for R. Jackson,9,6
1,7:28.0,G. Hill makes 2-pt layup from 2 ft,,11,6
1,7:10.0,,R. Bullock misses 2-pt jump shot from 17 ft,11,6
1,7:08.0,,Offensive rebound by B. Griffin,11,6
1,7:00.0,,R. Bullock misses 2-pt jump shot from 18 ft,11,6
1,6:58.0,,Offensive rebound by A. Drummond,11,6
1,6:57.0,,A. Drummond misses 2-pt layup from 1 ft,11,6
1,6:57.0,Defensive rebound by C. Osman,,11,6
1,6:47.0,T. Thompson misses 2-pt hook shot from 7 ft,,11,6
1,6:43.0,,Defensive rebound by A. Drummond,11,6
1,6:36.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),11,8
1,6:35.0,Cleveland full timeout,,11,8
1,6:24.0,G. Hill makes 2-pt layup from 3 ft,,13,8
1,6:12.0,,R. Bullock misses 3-pt jump shot from 26 ft,13,8
1,6:11.0,,Offensive rebound by Team,13,8
1,6:01.0,,B. Griffin makes 3-pt jump shot from 26 ft,13,11
1,5:44.0,Turnover by G. Hill (bad pass; steal by S. Johnson),,13,11
1,5:41.0,,S. Johnson makes 2-pt layup from 1 ft (assist by I. Smith),13,13
1,5:19.0,T. Thompson misses 2-pt jump shot from 16 ft,,13,13
1,5:17.0,,Defensive rebound by B. Griffin,13,13
1,5:12.0,,I. Smith misses 3-pt jump shot from 25 ft,13,13
1,5:07.0,,Offensive rebound by S. Johnson,13,13
1,5:06.0,,S. Johnson misses 3-pt jump shot from 28 ft,13,13
1,5:06.0,Defensive rebound by R. Hood,,13,13
1,4:57.0,R. Hood makes 2-pt layup from 5 ft,,15,13
1,4:42.0,,B. Griffin makes 2-pt dunk at rim (assist by I. Smith),15,15
1,4:26.0,R. Hood misses 2-pt layup from 1 ft (block by R. Bullock),,15,15
1,4:26.0,Offensive rebound by Team,,15,15
1,4:26.0,K. Korver enters the game for C. Osman,,15,15
1,4:26.0,L. Nance enters the game for T. Thompson,,15,15
1,4:26.0,,L. Galloway enters the game for R. Bullock,15,15
1,4:21.0,Turnover by G. Hill (bad pass; steal by B. Griffin),,15,15
1,3:59.0,,S. Johnson misses 3-pt jump shot from 30 ft,15,15
1,3:55.0,Defensive rebound by K. Korver,,15,15
1,3:40.0,Shooting foul by A. Drummond (drawn by R. Hood),,15,15
1,3:40.0,R. Hood makes free throw 1 of 2,,16,15
1,3:40.0,C. Sexton enters the game for C. Frye,,16,15
1,3:40.0,J. Smith enters the game for G. Hill,,16,15
1,3:40.0,R. Hood makes free throw 2 of 2,,17,15
1,3:23.0,,Turnover by S. Johnson (step out of bounds),17,15
1,3:12.0,J. Smith misses 3-pt jump shot from 26 ft,,17,15
1,3:09.0,,Defensive rebound by A. Drummond,17,15
1,2:53.0,,I. Smith makes 3-pt jump shot from 27 ft,17,18
1,2:35.0,Personal foul by L. Galloway (drawn by K. Korver),,17,18
1,2:35.0,,Detroit full timeout,17,18
1,2:35.0,J. Clarkson enters the game for R. Hood,,17,18
1,2:35.0,,L. Kennard enters the game for A. Drummond,17,18
1,2:35.0,,Z. Pachulia enters the game for B. Griffin,17,18
1,2:35.0,K. Korver makes free throw 1 of 2,,18,18
1,2:35.0,K. Korver makes free throw 2 of 2,,19,18
1,2:17.0,,L. Galloway makes 2-pt jump shot from 9 ft (assist by Z. Pachulia),19,20
1,1:57.0,J. Clarkson makes 3-pt jump shot from 22 ft (assist by L. Nance),,22,20
1,1:46.0,,L. Kennard makes 2-pt layup from 1 ft (assist by Z. Pachulia),22,22
1,1:46.0,Violation by Team (def goaltending),,22,22
1,1:46.0,,R. Bullock enters the game for S. Johnson,22,22
1,1:30.0,Turnover by J. Smith (back court),,22,22
1,1:21.0,,Personal foul by K. Korver (drawn by L. Kennard),22,22
1,1:08.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by I. Smith),22,25
1,1:00.0,Personal foul by Z. Pachulia (drawn by C. Sexton),,22,25
1,1:00.0,C. Sexton makes free throw 1 of 2,,23,25
1,1:00.0,C. Sexton makes free throw 2 of 2,,24,25
1,0:44.0,,Personal foul by L. Nance (drawn by Z. Pachulia),24,25
1,0:44.0,,Z. Pachulia makes free throw 1 of 2,24,26
1,0:44.0,,Z. Pachulia makes free throw 2 of 2,24,27
1,0:33.0,J. Clarkson makes 3-pt jump shot from 26 ft,,27,27
1,0:23.0,,I. Smith makes 3-pt jump shot from 26 ft (assist by R. Bullock),27,30
1,0:01.0,K. Korver misses 3-pt jump shot from 24 ft,,27,30
1,0:01.0,Offensive rebound by Team,,27,30
2,11:44.0,J. Clarkson makes 2-pt layup from 3 ft,,29,30
2,11:21.0,,L. Kennard makes 2-pt jump shot from 17 ft,29,32
