QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
1,11:34.0,K. Durant makes 2-pt jump shot from 17 ft,,2,0
1,11:09.0,,J. Harden misses 3-pt jump shot from 27 ft,2,0
1,11:06.0,,Offensive rebound by C. Capela,2,0
1,10:57.0,,Turnover by J. Harden (lost ball; steal by D. Green),2,0
1,10:52.0,K. Durant makes 2-pt dunk from 2 ft (assist by D. Green),,4,0
1,10:30.0,,C. Paul misses 2-pt jump shot from 13 ft,4,0
1,10:28.0,,Offensive rebound by C. Capela,4,0
1,10:21.0,,J. Ennis misses 3-pt jump shot from 23 ft,4,0
1,10:18.0,Defensive rebound by A. Iguodala,,4,0
1,10:12.0,K. Thompson misses 3-pt jump shot from 26 ft,,4,0
1,10:10.0,Offensive rebound by Team,,4,0
1,10:02.0,K. Thompson makes 2-pt layup from 2 ft,,6,0
1,9:46.0,,Shooting foul by D. Green (drawn by J. Harden),6,0
1,9:46.0,,J. Harden makes free throw 1 of 2,6,1
1,9:46.0,,J. Harden misses free throw 2 of 2,6,1
1,9:46.0,Defensive rebound by D. Green,,6,1
1,9:29.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by D. Green),,8,1
1,9:10.0,,P. Tucker misses 3-pt jump shot from 23 ft,8,1
1,9:06.0,,Offensive rebound by J. Ennis,8,1
1,9:05.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by J. Ennis),8,4
1,8:41.0,K. Durant misses 2-pt jump shot from 16 ft,,8,4
1,8:38.0,Offensive rebound by K. Durant,,8,4
1,8:27.0,D. Green misses 3-pt jump shot from 27 ft,,8,4
1,8:25.0,,Defensive rebound by C. Capela,8,4
1,8:19.0,Violation by Team (kicked ball),,8,4
1,8:06.0,Violation by Team (kicked ball),,8,4
1,7:50.0,,P. Tucker makes 2-pt hook shot from 10 ft (assist by C. Paul),8,6
1,7:41.0,K. Thompson misses 2-pt jump shot from 21 ft,,8,6
1,7:38.0,Offensive rebound by A. Iguodala,,8,6
1,7:26.0,K. Durant misses 2-pt jump shot from 17 ft,,8,6
1,7:23.0,,Defensive rebound by J. Harden,8,6
1,7:06.0,,J. Harden misses 2-pt jump shot from 11 ft,8,6
1,7:04.0,Defensive rebound by K. Durant,,8,6
1,6:54.0,,Houston full timeout,8,6
1,6:54.0,,E. Gordon enters the game for C. Paul,8,6
1,6:46.0,Def 3 sec tech foul by Team,,8,6
1,6:46.0,K. Durant makes technical free throw,,9,6
1,6:36.0,A. Iguodala misses 2-pt layup from 3 ft,,9,6
1,6:33.0,Offensive rebound by K. Thompson,,9,6
1,6:32.0,Turnover by Team (shot clock),,9,6
1,6:08.0,,J. Harden misses 2-pt jump shot from 15 ft,9,6
1,6:03.0,Defensive rebound by A. Iguodala,,9,6
1,6:00.0,Personal foul by P. Tucker (drawn by D. Green),,9,6
1,6:00.0,K. Looney enters the game for D. Green,,9,6
1,6:00.0,,G. Clark enters the game for J. Ennis,9,6
1,5:52.0,K. Durant makes 2-pt dunk from 2 ft,,11,6
1,5:34.0,,C. Capela makes 2-pt hook shot from 6 ft,11,8
1,5:16.0,K. Durant misses 2-pt jump shot from 16 ft,,11,8
1,5:13.0,Offensive rebound by D. Jones,,11,8
1,5:07.0,Turnover by A. Iguodala (traveling),,11,8
1,5:07.0,J. Jerebko enters the game for D. Jones,,11,8
1,4:51.0,,C. Capela misses 2-pt layup from 4 ft (block by K. Durant),11,8
1,4:51.0,,Offensive rebound by Team,11,8
1,4:45.0,,J. Harden misses 3-pt jump shot from 25 ft,11,8
1,4:41.0,,Offensive rebound by C. Capela,11,8
1,4:35.0,,G. Clark misses 3-pt jump shot from 25 ft,11,8
1,4:32.0,Defensive rebound by A. Iguodala,,11,8
1,4:28.0,Shooting foul by G. Clark (drawn by K. Looney),,11,8
1,4:28.0,K. Looney makes free throw 1 of 2,,12,8
1,4:28.0,S. Livingston enters the game for A. Iguodala,,12,8
1,4:28.0,,I. Hartenstein enters the game for C. Capela,12,8
1,4:28.0,K. Looney makes free throw 2 of 2,,13,8
1,4:15.0,,J. Harden misses 2-pt layup from 1 ft,13,8
1,4:10.0,,Offensive rebound by I. Hartenstein,13,8
1,4:10.0,,I. Hartenstein misses 2-pt dunk from 1 ft,13,8
1,4:10.0,Defensive rebound by S. Livingston,,13,8
1,4:06.0,J. Jerebko makes 2-pt dunk from 1 ft (assist by S. Livingston),,15,8
1,3:46.0,,Shooting foul by S. Livingston (drawn by J. Harden),15,8
1,3:46.0,,J. Harden makes free throw 1 of 2,15,9
1,3:46.0,A. McKinnie enters the game for K. Thompson,,15,9
