QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MINNESOTA_ACTION,NEW ORLEANS_SCORE,MINNESOTA_SCORE
1,11:36.0,,J. Teague makes 3-pt jump shot from 26 ft (assist by A. Wiggins),0,3
1,11:12.0,J. Holiday misses 2-pt layup from 1 ft,,0,3
1,11:10.0,,Defensive rebound by K. Towns,0,3
1,11:02.0,Violation by Team (kicked ball),,0,3
1,10:55.0,,A. Wiggins misses 3-pt jump shot from 25 ft,0,3
1,10:53.0,Defensive rebound by A. Davis,,0,3
1,10:43.0,E. Moore makes 2-pt jump shot from 8 ft (assist by A. Davis),,2,3
1,10:26.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by K. Towns),2,6
1,10:08.0,E. Moore makes 3-pt jump shot from 25 ft (assist by J. Holiday),,5,6
1,9:57.0,,J. Teague makes 2-pt layup from 2 ft,5,8
1,9:48.0,Personal foul by K. Towns (drawn by A. Davis),,5,8
1,9:41.0,E. Moore misses 2-pt jump shot from 20 ft,,5,8
1,9:37.0,,Defensive rebound by K. Towns,5,8
1,9:29.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Teague),5,10
1,9:15.0,E. Moore misses 2-pt jump shot from 8 ft,,5,10
1,9:12.0,,Defensive rebound by K. Towns,5,10
1,9:08.0,,J. Teague misses 3-pt jump shot from 25 ft,5,10
1,9:05.0,Defensive rebound by N. Mirotić,,5,10
1,8:56.0,N. Mirotić misses 3-pt jump shot from 26 ft,,5,10
1,8:53.0,,Defensive rebound by K. Towns,5,10
1,8:43.0,,A. Wiggins misses 3-pt jump shot from 24 ft,5,10
1,8:41.0,Defensive rebound by Team,,5,10
1,8:32.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,7,10
1,8:23.0,,Personal foul by A. Davis (drawn by K. Towns),7,10
1,8:16.0,,K. Towns misses 2-pt jump shot from 18 ft,7,10
1,8:14.0,Defensive rebound by N. Mirotić,,7,10
1,8:07.0,A. Davis makes 2-pt dunk at rim (assist by W. Johnson),,9,10
1,7:53.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Teague),9,12
1,7:47.0,Personal foul by R. Covington (drawn by J. Holiday),,9,12
1,7:41.0,A. Davis makes 2-pt jump shot from 8 ft,,11,12
1,7:25.0,Violation by Team (kicked ball),,11,12
1,7:15.0,,A. Wiggins misses 2-pt jump shot from 19 ft,11,12
1,7:12.0,Defensive rebound by E. Moore,,11,12
1,7:08.0,Turnover by J. Holiday (bad pass),,11,12
1,6:52.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Teague),11,14
1,6:40.0,J. Holiday misses 2-pt jump shot from 10 ft,,11,14
1,6:37.0,,Defensive rebound by K. Towns,11,14
1,6:32.0,,Turnover by A. Wiggins (lost ball; steal by E. Moore),11,14
1,6:20.0,N. Mirotić makes 2-pt jump shot from 20 ft (assist by W. Johnson),,13,14
1,5:56.0,,J. Teague makes 2-pt jump shot from 13 ft,13,16
1,5:47.0,N. Mirotić makes 2-pt layup from 2 ft (assist by J. Holiday),,15,16
1,5:38.0,,R. Covington misses 3-pt jump shot from 26 ft,15,16
1,5:36.0,,Offensive rebound by A. Wiggins,15,16
