QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,LA LAKERS_ACTION,NEW ORLEANS_SCORE,LA LAKERS_SCORE
1,11:45.0,J. Randle misses 3-pt jump shot from 25 ft,,0,0
1,11:42.0,,Defensive rebound by R. Rondo,0,0
1,11:27.0,,K. Kuzma misses 3-pt jump shot from 26 ft,0,0
1,11:24.0,Defensive rebound by E. Payton,,0,0
1,11:13.0,K. Williams misses 2-pt layup from 2 ft,,0,0
1,11:09.0,Offensive rebound by K. Williams,,0,0
1,11:09.0,K. Williams misses 2-pt layup at rim,,0,0
1,11:08.0,,Defensive rebound by R. Rondo,0,0
1,11:06.0,,B. Ingram misses 3-pt jump shot from 24 ft,0,0
1,11:03.0,Defensive rebound by J. Randle,,0,0
1,10:53.0,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Randle),,2,0
1,10:33.0,,R. Rondo misses 3-pt jump shot from 27 ft,2,0
1,10:30.0,Defensive rebound by E. Payton,,2,0
1,10:19.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,0
1,10:16.0,,Defensive rebound by K. Kuzma,2,0
1,10:06.0,,B. Ingram makes 2-pt layup from 2 ft (assist by L. James),2,2
1,9:50.0,J. Randle misses 2-pt dunk from 3 ft,,2,2
1,9:48.0,,Defensive rebound by B. Ingram,2,2
1,9:43.0,,K. Kuzma makes 2-pt hook shot from 4 ft (assist by L. James),2,4
1,9:33.0,E. Payton makes 2-pt layup from 2 ft,,4,4
1,9:23.0,,Personal foul by K. Williams (drawn by R. Bullock),4,4
1,9:13.0,,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),4,6
1,9:04.0,E. Payton misses 2-pt layup from 3 ft (block by K. Kuzma),,4,6
1,9:02.0,Offensive rebound by E. Payton,,4,6
1,8:58.0,Turnover by E. Payton (lost ball; steal by L. James),,4,6
1,8:55.0,,R. Bullock makes 2-pt layup from 2 ft (assist by R. Rondo),4,8
1,8:50.0,New Orleans full timeout,,4,8
1,8:41.0,J. Randle makes 3-pt jump shot from 26 ft (assist by A. Davis),,7,8
1,8:23.0,,K. Kuzma makes 2-pt jump shot from 17 ft (assist by R. Rondo),7,10
1,8:03.0,Turnover by J. Holiday (traveling),,7,10
1,7:48.0,,L. James misses 3-pt jump shot from 25 ft,7,10
1,7:44.0,Defensive rebound by K. Williams,,7,10
1,7:32.0,J. Randle misses 2-pt jump shot from 12 ft,,7,10
1,7:27.0,Offensive rebound by A. Davis,,7,10
1,7:27.0,A. Davis makes 2-pt layup at rim,,9,10
1,7:20.0,,L. James makes 2-pt dunk from 2 ft (assist by R. Rondo),9,12
1,7:07.0,E. Payton misses 2-pt layup from 3 ft,,9,12
1,7:03.0,Offensive rebound by E. Payton,,9,12
1,7:03.0,E. Payton misses 2-pt layup at rim,,9,12
1,7:02.0,Offensive rebound by A. Davis,,9,12
1,7:02.0,A. Davis makes 2-pt layup at rim,,11,12
1,6:54.0,,Shooting foul by A. Davis (drawn by K. Kuzma),11,12
1,6:54.0,,K. Kuzma misses free throw 1 of 2,11,12
1,6:54.0,,Offensive rebound by Team,11,12
1,6:54.0,,K. Kuzma makes free throw 2 of 2,11,13
1,6:45.0,A. Davis makes 2-pt layup from 3 ft (assist by E. Payton),,13,13
1,6:34.0,,Personal foul by J. Holiday (drawn by B. Ingram),13,13
1,6:27.0,,B. Ingram makes 2-pt dunk at rim (assist by L. James),13,15
1,6:16.0,J. Holiday misses 2-pt layup from 2 ft,,13,15
1,6:14.0,,Defensive rebound by L. James,13,15
1,6:11.0,,L. James misses 2-pt layup from 1 ft (block by E. Payton),13,15
1,6:11.0,,Offensive rebound by Team,13,15
1,6:11.0,E. Moore enters the game for E. Payton,,13,15
1,6:08.0,,R. Bullock misses 2-pt layup from 3 ft,13,15
1,6:05.0,Defensive rebound by E. Moore,,13,15
1,5:56.0,J. Randle makes 2-pt layup from 2 ft,,15,15
1,5:39.0,,B. Ingram misses 2-pt jump shot from 16 ft,15,15
1,5:36.0,Defensive rebound by J. Holiday,,15,15
1,5:28.0,J. Randle misses 2-pt hook shot from 4 ft,,15,15
1,5:23.0,,Defensive rebound by R. Bullock,15,15
1,5:13.0,,Shooting foul by A. Davis (drawn by B. Ingram),15,15
1,5:13.0,,B. Ingram makes free throw 1 of 2,15,16
1,5:13.0,D. Miller enters the game for A. Davis,,15,16
1,5:13.0,,B. Ingram makes free throw 2 of 2,15,17
1,4:59.0,K. Williams misses 3-pt jump shot from 28 ft,,15,17
1,4:55.0,,Defensive rebound by R. Rondo,15,17
1,4:51.0,,R. Rondo misses 2-pt layup from 1 ft,15,17
1,4:46.0,,Offensive rebound by L. James,15,17
1,4:44.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),15,19
1,4:33.0,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),,17,19
1,4:33.0,Shooting foul by B. Ingram (drawn by J. Randle),,17,19
