QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW ORLEANS_ACTION,OKLAHOMA CITY_SCORE,NEW ORLEANS_SCORE
1,11:45.0,P. George makes 2-pt jump shot from 12 ft,,2,0
1,11:31.0,,Turnover by J. Holiday (bad pass),2,0
1,11:21.0,J. Grant misses 2-pt jump shot from 22 ft,,2,0
1,11:17.0,,Defensive rebound by J. Randle,2,0
1,11:10.0,,J. Holiday misses 3-pt jump shot from 26 ft,2,0
1,11:06.0,,Offensive rebound by T. Frazier,2,0
1,11:03.0,,A. Davis makes 2-pt dunk from 1 ft (assist by S. Hill),2,2
1,10:53.0,S. Adams makes 2-pt jump shot from 6 ft (assist by R. Westbrook),,4,2
1,10:38.0,,Personal foul by J. Grant (drawn by J. Randle),4,2
1,10:25.0,,T. Frazier misses 2-pt jump shot from 3 ft,4,2
1,10:24.0,,Offensive rebound by Team,4,2
1,10:24.0,,Turnover by Team (shot clock),4,2
1,10:10.0,Turnover by R. Westbrook (bad pass; steal by J. Holiday),,4,2
1,10:01.0,,J. Randle makes 2-pt jump shot from 6 ft (assist by J. Holiday),4,4
1,9:42.0,Turnover by P. George (bad pass; steal by S. Hill),,4,4
1,9:38.0,,T. Frazier makes 2-pt layup from 1 ft (assist by J. Holiday),4,6
1,9:18.0,S. Adams makes 2-pt layup from 1 ft,,6,6
1,9:03.0,,A. Davis makes 2-pt jump shot from 3 ft (assist by T. Frazier),6,8
1,8:52.0,Turnover by R. Westbrook (bad pass; steal by A. Davis),,6,8
1,8:42.0,,A. Davis misses 2-pt layup from 2 ft,6,8
1,8:37.0,Defensive rebound by J. Grant,,6,8
1,8:30.0,Turnover by R. Westbrook (bad pass; steal by S. Hill),,6,8
1,8:25.0,,S. Hill misses 3-pt jump shot from 27 ft,6,8
1,8:21.0,Defensive rebound by J. Grant,,6,8
1,8:16.0,Oklahoma City full timeout,,6,8
1,8:09.0,R. Westbrook makes 2-pt layup from 1 ft,,8,8
1,7:49.0,,J. Randle misses 3-pt jump shot from 27 ft,8,8
1,7:46.0,Defensive rebound by S. Adams,,8,8
1,7:39.0,J. Grant misses 3-pt jump shot from 24 ft,,8,8
1,7:34.0,,Defensive rebound by A. Davis,8,8
1,7:27.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by T. Frazier),8,11
1,7:12.0,P. George misses 3-pt jump shot from 24 ft,,8,11
1,7:09.0,,Defensive rebound by A. Davis,8,11
1,7:05.0,,J. Holiday makes 2-pt layup from 2 ft (assist by T. Frazier),8,13
1,7:05.0,,Shooting foul by P. George (drawn by J. Holiday),8,13
1,7:05.0,,J. Holiday makes free throw 1 of 1,8,14
1,6:57.0,T. Ferguson misses 3-pt jump shot from 25 ft,,8,14
1,6:52.0,,Defensive rebound by J. Randle,8,14
1,6:44.0,,J. Randle misses 2-pt jump shot from 6 ft,8,14
1,6:42.0,,Offensive rebound by J. Holiday,8,14
1,6:40.0,,S. Hill misses 3-pt jump shot from 26 ft,8,14
1,6:40.0,,Offensive rebound by T. Frazier,8,14
1,6:34.0,,New Orleans full timeout,8,14
1,6:34.0,,A. Harrison enters the game for J. Holiday,8,14
1,6:26.0,,T. Frazier misses 3-pt jump shot from 26 ft,8,14
1,6:23.0,,Offensive rebound by S. Hill,8,14
1,6:22.0,,Turnover by S. Hill (bad pass; steal by P. George),8,14
1,6:17.0,P. George makes 2-pt jump shot from 15 ft,,10,14
1,5:52.0,,J. Randle makes 2-pt layup from 1 ft (assist by A. Harrison),10,16
1,5:36.0,Personal foul by A. Davis (drawn by R. Westbrook),,10,16
1,5:36.0,D. Schröder enters the game for T. Ferguson,,10,16
1,5:36.0,,D. Miller enters the game for S. Hill,10,16
1,5:29.0,Shooting foul by A. Harrison (drawn by R. Westbrook),,10,16
1,5:29.0,R. Westbrook makes free throw 1 of 2,,11,16
1,5:29.0,R. Westbrook misses free throw 2 of 2,,11,16
1,5:27.0,,Defensive rebound by T. Frazier,11,16
1,5:05.0,,J. Randle makes 2-pt jump shot from 20 ft,11,18
1,4:47.0,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),,13,18
1,4:25.0,,A. Davis misses 2-pt jump shot from 6 ft,13,18
1,4:24.0,Defensive rebound by Team,,13,18
1,4:24.0,,C. Diallo enters the game for J. Randle,13,18
1,4:10.0,Personal foul by T. Frazier (drawn by S. Adams),,13,18
1,4:03.0,J. Grant makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,16,18
1,3:46.0,,A. Davis misses 3-pt jump shot from 25 ft,16,18
1,3:43.0,,Offensive rebound by C. Diallo,16,18
1,3:39.0,,Turnover by D. Miller (bad pass; steal by R. Westbrook),16,18
1,3:34.0,Turnover by R. Westbrook (lost ball; steal by C. Diallo),,16,18
1,3:28.0,,A. Davis makes 2-pt dunk from 2 ft (assist by T. Frazier),16,20
1,3:16.0,P. George misses 3-pt jump shot from 26 ft,,16,20
1,3:12.0,,Defensive rebound by A. Davis,16,20
1,2:59.0,,T. Frazier misses 2-pt layup from 2 ft,16,20
1,2:59.0,Defensive rebound by Team,,16,20
1,2:59.0,,Loose ball foul by C. Diallo (drawn by D. Schröder),16,20
1,2:47.0,S. Adams makes 2-pt hook shot from 7 ft,,18,20
1,2:28.0,,T. Frazier misses 2-pt layup from 2 ft,18,20
1,2:26.0,Defensive rebound by S. Adams,,18,20
1,2:18.0,Turnover by P. George (lost ball; steal by T. Frazier),,18,20
1,2:13.0,,Personal foul by P. George (drawn by A. Harrison),18,20
1,2:13.0,Á. Abrines enters the game for S. Adams,,18,20
1,2:13.0,N. Noel enters the game for R. Westbrook,,18,20
1,2:13.0,,J. Holiday enters the game for A. Davis,18,20
1,2:13.0,,J. Randle enters the game for T. Frazier,18,20
1,2:05.0,,C. Diallo misses 2-pt layup from 4 ft,18,20
1,2:01.0,Defensive rebound by P. George,,18,20
1,1:55.0,P. George makes 3-pt jump shot from 25 ft,,21,20
1,1:42.0,,Turnover by J. Holiday (bad pass; steal by P. George),21,20
