QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
1,11:35.0,C. LeVert makes 2-pt jump shot from 18 ft,,2,0
1,11:13.0,,M. Turner makes 2-pt hook shot from 10 ft,2,2
1,10:59.0,Turnover by J. Allen (bad pass),,2,2
1,10:41.0,,V. Oladipo misses 3-pt jump shot from 27 ft,2,2
1,10:39.0,Defensive rebound by D. Russell,,2,2
1,10:33.0,D. Russell misses 2-pt jump shot from 20 ft,,2,2
1,10:29.0,,Defensive rebound by V. Oladipo,2,2
1,10:20.0,,T. Young misses 2-pt hook shot from 6 ft,2,2
1,10:18.0,Defensive rebound by D. Russell,,2,2
1,10:13.0,J. Harris makes 3-pt jump shot from 24 ft (assist by J. Dudley),,5,2
1,9:51.0,,D. Collison makes 3-pt jump shot from 28 ft,5,5
1,9:35.0,C. LeVert misses 3-pt jump shot from 28 ft,,5,5
1,9:33.0,,Defensive rebound by M. Turner,5,5
1,9:27.0,,D. Collison misses 3-pt jump shot from 28 ft,5,5
1,9:20.0,Defensive rebound by C. LeVert,,5,5
1,9:15.0,Turnover by D. Russell (lost ball; steal by T. Young),,5,5
1,9:13.0,,V. Oladipo makes 2-pt layup from 2 ft (assist by T. Young),5,7
1,9:13.0,,Shooting foul by J. Dudley (drawn by V. Oladipo),5,7
1,9:13.0,,V. Oladipo makes free throw 1 of 1,5,8
1,9:01.0,D. Russell misses 2-pt jump shot from 8 ft,,5,8
1,9:00.0,Offensive rebound by Team,,5,8
1,9:00.0,,Loose ball foul by D. Collison (drawn by J. Allen),5,8
1,8:50.0,J. Dudley makes 3-pt jump shot from 23 ft (assist by D. Russell),,8,8
1,8:37.0,,M. Turner makes 2-pt jump shot from 6 ft (assist by V. Oladipo),8,10
1,8:25.0,J. Harris makes 3-pt jump shot from 27 ft (assist by D. Russell),,11,10
1,8:05.0,,Shooting foul by C. LeVert (drawn by M. Turner),11,10
1,8:05.0,,M. Turner makes free throw 1 of 2,11,11
1,8:05.0,,M. Turner misses free throw 2 of 2,11,11
1,8:03.0,Defensive rebound by J. Allen,,11,11
1,7:48.0,Turnover by C. LeVert (bad pass; steal by M. Turner),,11,11
1,7:43.0,,V. Oladipo makes 2-pt layup from 2 ft,11,13
1,7:20.0,C. LeVert makes 3-pt jump shot from 29 ft (assist by D. Russell),,14,13
1,7:02.0,,T. Young misses 2-pt hook shot from 8 ft,14,13
1,6:59.0,Defensive rebound by D. Russell,,14,13
1,6:55.0,,Violation by Team (kicked ball),14,13
1,6:55.0,,Indiana full timeout,14,13
1,6:44.0,D. Russell makes 2-pt jump shot from 12 ft (assist by J. Dudley),,16,13
1,6:27.0,,Shooting foul by J. Harris (drawn by D. Collison),16,13
1,6:27.0,,D. Collison misses free throw 1 of 2,16,13
1,6:27.0,,Offensive rebound by Team,16,13
1,6:27.0,E. Davis enters the game for J. Allen,,16,13
1,6:27.0,S. Dinwiddie enters the game for J. Harris,,16,13
1,6:27.0,,D. Collison makes free throw 2 of 2,16,14
1,6:17.0,D. Russell makes 2-pt jump shot from 18 ft,,18,14
1,6:01.0,,M. Turner misses 2-pt layup from 2 ft,18,14
1,5:59.0,,Offensive rebound by M. Turner,18,14
1,5:57.0,,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by M. Turner),18,17
1,5:48.0,Personal foul by D. Collison (drawn by E. Davis),,18,17
1,5:48.0,,C. Joseph enters the game for B. Bogdanović,18,17
1,5:33.0,E. Davis misses 2-pt jump shot from 3 ft (block by M. Turner),,18,17
1,5:30.0,Offensive rebound by E. Davis,,18,17
1,5:29.0,E. Davis misses 2-pt jump shot from 3 ft,,18,17
1,5:29.0,,Defensive rebound by V. Oladipo,18,17
1,5:12.0,,M. Turner makes 2-pt jump shot from 14 ft,18,19
1,5:00.0,Personal foul by M. Turner (drawn by J. Dudley),,18,19
1,5:00.0,A. Crabbe enters the game for J. Dudley,,18,19
1,5:00.0,R. Kurucs enters the game for D. Russell,,18,19
