QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
1,11:37.0,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,3,0
1,11:25.0,,A. Len misses 3-pt jump shot from 24 ft,3,0
1,11:23.0,Defensive rebound by B. Griffin,,3,0
1,11:18.0,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),,5,0
1,11:09.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by A. Len),5,3
1,10:58.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,8,3
1,10:40.0,,T. Young misses 2-pt jump shot from 8 ft (block by A. Drummond),8,3
1,10:39.0,,Offensive rebound by Team,8,3
1,10:32.0,,A. Len misses 3-pt jump shot from 23 ft,8,3
1,10:30.0,Defensive rebound by G. Robinson,,8,3
1,10:25.0,G. Robinson misses 3-pt jump shot from 23 ft,,8,3
1,10:22.0,,Defensive rebound by T. Young,8,3
1,10:15.0,,O. Spellman makes 2-pt jump shot from 18 ft (assist by T. Young),8,5
1,9:58.0,R. Bullock misses 3-pt jump shot from 25 ft,,8,5
1,9:55.0,,Defensive rebound by T. Prince,8,5
1,9:46.0,,T. Prince misses 3-pt jump shot from 23 ft,8,5
1,9:43.0,Defensive rebound by B. Griffin,,8,5
1,9:32.0,R. Bullock makes 2-pt layup from 1 ft (assist by A. Drummond),,10,5
1,9:24.0,,Offensive foul by T. Young (drawn by R. Jackson),10,5
1,9:24.0,,Turnover by T. Young (offensive foul),10,5
1,9:09.0,R. Bullock makes 2-pt jump shot from 17 ft (assist by G. Robinson),,12,5
1,8:50.0,,Turnover by T. Young (bad pass; steal by R. Jackson),12,5
1,8:45.0,G. Robinson makes 2-pt layup from 1 ft (assist by B. Griffin),,14,5
1,8:45.0,,Atlanta full timeout,14,5
1,8:29.0,,Turnover by K. Bazemore (bad pass),14,5
1,8:14.0,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),,16,5
1,8:01.0,,Turnover by K. Bazemore (bad pass),16,5
1,8:01.0,,D. Dedmon enters the game for A. Len,16,5
1,7:46.0,R. Bullock misses 2-pt jump shot from 17 ft,,16,5
1,7:40.0,Offensive rebound by A. Drummond,,16,5
1,7:40.0,A. Drummond makes 2-pt layup at rim,,18,5
1,7:32.0,,K. Bazemore makes 2-pt layup from 2 ft,18,7
