"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,7.33333333333333,13.2,5.33333333333333,12,6.6,33,6,24,6.6,33,33,33,7.33333333333333,22,44,66
1,8811,0,0,0,0,1.83333333333333,0,1.6,0,1.83333333333333,0,2.2,0,0,0,0,0
2,8811,0,0,0,0,4,0,1.5,0,1,0,0,0,0,0,0,0
2,8812,0,0,0,0,4,0,1.5,0,1,0,0,0,0,0,0,0
4,1018,0,2.33333333333333,0,0.8,0,1.16666666666667,0,0.285714285714286,0,0.571428571428571,0,0.6,0,1.33333333333333,0,1
5,196,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0
5,8813,0,0,0,0,0,0,1.5,0,0.5,0,0.5,0,0,0,0,0
5,209,0,0,0.3,0,0,0,0,3,0,1,0,1,0,0,1,0
6,201,1.8,1.125,3.14285714285714,1.57142857142857,1.8,9,1.83333333333333,11,0.444444444444444,4,3,3,0.888888888888889,0.571428571428571,6,3
7,201,0.153846153846154,0.0909090909090909,1.2,0.75,0.5,0.142857142857143,3,1.5,2.5,2.5,0,0,5,2.5,0,0
8,200,5.5,5.25,6.6,7,12,5.25,12,7,12,10.5,24,14,16.5,10.5,16.5,14
8,1027,0,0,0,0,0.428571428571429,3,0.5,3,0.25,3,6,6,0,0,6,0
1,1027,0,0,0,0,1.57142857142857,2.75,1.33333333333333,2.66666666666667,0.916666666666667,1.83333333333333,1,3.66666666666667,0,0,0,0
9,195,0.375,0.6,0.428571428571429,0.545454545454545,0,3,0,3,0,6,0,7,0.857142857142857,1.5,7,14
10,8814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8815,0,0,0,0,0.111111111111111,1,0.125,1,0.2,2,3,3,0,0,0,0
11,8815,0,0,0,0,0.5,0.125,0.5,0.142857142857143,1,1,0,0,0,0,0,0
12,1022,0.153846153846154,0.153846153846154,0.1,0.0909090909090909,0,2,0,1,0,4,0,2,0.363636363636364,0.363636363636364,2,2
12,8816,0,0,0,0,1,0,0.5,0,2,0,1,0,0,0,0,0
13,8817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1027,0,0,0,0,1,0.25,0,0,2,2,0.5,0.166666666666667,2,0,0,0
14,200,11,8.4,8.8,9.33333333333333,9.6,10.5,8,9.33333333333333,1.14285714285714,1.4,8,9.33333333333333,1.57142857142857,1.4,11,9.33333333333333
15,200,11,9.8,2.75,2.33333333333333,11.2,49,3.2,14,8,42,56,49,13.2,10.5,77,49
16,1123,0.625,0.714285714285714,1.28571428571429,1.5,0.714285714285714,10,1.8,18,1.66666666666667,20,7,14,1.42857142857143,1.66666666666667,7,7
16,1018,0,1.66666666666667,0,3.6,0,5,0,9,0,10,0,7,0,3.33333333333333,0,14
9,8818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,200,4.71428571428571,4.2,4.71428571428571,4.2,12,5.25,12,5.25,24,21,28,24.5,33,21,19.25,12.25
18,4797,0,0,0,0,1,0,3,0,3,0,0,0,1.5,0,0,0
19,1188,3,0.6,11.4285714285714,2,9,15,30,50,30,50,30,25,40,5,40,5
20,1188,1.77777777777778,0.333333333333333,2.28571428571429,0.333333333333333,6,10,6,10,6,10,12,10,8,1,16,2
21,1534,1.125,1.28571428571429,3.85714285714286,4.5,9,3.5,27,12.6,42,49,6,2.8,21,21,0.75,1
22,1676,0,0,0,0,0,0,0,0,0,0.454545454545455,0,0,0.1,0,0,0
24,8820,0,0,0,0,0,0,0,0,4.5,1.5,0,0,0,0,0,0
24,532,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
25,1534,0.3,0.333333333333333,0,0,0.857142857142857,1.16666666666667,0,0,0,0,1.5,1.4,0,0,0.428571428571429,0.5
26,1534,0,0,0,0,0,0,0,0,9,10.5,9,3.5,4.5,4.5,2.25,3
27,1188,0,0,0,0,0,0,0,0,0,0,1.71428571428571,1.66666666666667,0,0,2.28571428571429,0.25
27,2023,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
27,8821,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
20,1192,9.6,7.5,6.85714285714286,6,11,2.4,11,2.4,11,6,11,3,24,15,9.6,7.5
26,1192,0,0,0,0,0,0,0,0,4.71428571428571,18,33,18,14.4,11.25,72,45
29,1192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,8822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1676,0,0,0,0,0,0,0,0,0.5,2.5,0,0,0.5,0,0,0
31,1676,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0
32,8820,0,0,0,0,0.333333333333333,1,1.5,3,2.1,7,12,4,0,0,0,0
33,8820,0,0,0,0,0,0,1.5,0,3,1,6,0.8,0,0,0,0
