"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,1.22222222222222,2.64,0.888888888888889,3,1.32,33,1.5,24,1.32,33,33,33,1.22222222222222,7.33333333333333,44,66
1,8811,0,0,0,0,0.305555555555556,0,0.32,0,0.305555555555556,0,0.44,0,0,0,0,0
2,8811,0,0,0,0,2,0,0.75,0,0.5,0,0,0,0,0,0,0
2,8812,0,0,0,0,2,0,0.75,0,0.5,0,0,0,0,0,0,0
4,1018,0,0.388888888888889,0,0.16,0,0.194444444444444,0,0.0408163265306122,0,0.0816326530612245,0,0.12,0,0.222222222222222,0,0.166666666666667
5,196,0,0,0.046875,0,0,0,0,0,0,0,0,0,0,0,0.00694444444444444,0
5,8813,0,0,0,0,0,0,0.75,0,0.25,0,0.25,0,0,0,0,0
5,209,0,0,0.03,0,0,0,0,3,0,1,0,1,0,0,1,0
6,201,0.18,0.140625,0.448979591836735,0.224489795918367,0.36,9,0.305555555555556,11,0.0493827160493827,4,3,3,0.0987654320987654,0.0816326530612245,6,3
7,201,0.0118343195266272,0.00826446280991736,0.12,0.09375,0.25,0.0204081632653061,1.5,0.375,1.25,1.25,0,0,2.5,1.25,0,0
8,200,0.916666666666667,1.3125,1.32,2.33333333333333,6,1.3125,6,2.33333333333333,6,5.25,12,4.66666666666667,8.25,5.25,4.125,4.66666666666667
8,1027,0,0,0,0,0.0612244897959184,3,0.0833333333333333,3,0.0208333333333333,3,6,6,0,0,6,0
1,1027,0,0,0,0,0.224489795918367,0.6875,0.222222222222222,0.888888888888889,0.0763888888888889,0.305555555555556,0.0909090909090909,1.22222222222222,0,0,0,0
9,195,0.046875,0.06,0.0612244897959184,0.0495867768595041,0,3,0,3,0,6,0,7,0.122448979591837,0.1875,7,14
10,8814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8815,0,0,0,0,0.0123456790123457,1,0.015625,1,0.02,2,3,3,0,0,0,0
11,8815,0,0,0,0,0.25,0.015625,0.25,0.0204081632653061,0.5,0.5,0,0,0,0,0,0
12,1022,0.0118343195266272,0.0118343195266272,0.01,0.00826446280991736,0,2,0,1,0,4,0,2,0.0330578512396694,0.0330578512396694,2,2
12,8816,0,0,0,0,0.5,0,0.25,0,1,0,0.5,0,0,0,0,0
13,8817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1027,0,0,0,0,0.5,0.03125,0,0,1,1,0.25,0.0277777777777778,1,0,0,0
14,200,1.83333333333333,1.68,1.76,3.11111111111111,1.92,2.625,2,3.11111111111111,0.163265306122449,0.28,2,3.11111111111111,0.224489795918367,0.28,2.75,3.11111111111111
15,200,1.57142857142857,1.96,0.34375,0.388888888888889,2.24,49,0.64,14,1.33333333333333,42,56,49,2.64,2.625,77,49
16,1123,0.078125,0.102040816326531,0.183673469387755,0.25,0.102040816326531,10,0.36,18,0.277777777777778,20,7,14,0.204081632653061,0.277777777777778,7,7
16,1018,0,0.277777777777778,0,0.72,0,5,0,9,0,10,0,7,0,0.555555555555556,0,14
9,8818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,200,0.673469387755102,0.84,0.673469387755102,0.84,6,1.3125,6,1.3125,12,10.5,14,12.25,16.5,10.5,4.8125,3.0625
18,4797,0,0,0,0,0.5,0,1.5,0,1.5,0,0,0,0.75,0,0,0
