"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,7.2,10.8,6,9,5.4,27,4.5,18,6,24,39,39,5.33333333333333,16,52,78
1,8811,0,0,0,0,9,0,6,0,8,0,13,0,0,0,0,0
2,8811,0,0,0,0,7,0,4,0,3,0,1,0,0,0,0,0
2,8812,0,0,0,0,3.5,0,2,0,1.5,0,0.5,0,0,0,0,0
4,1018,0,2,0,1.2,0,12,0,6,0,10,0,8,0,1.66666666666667,4,8
5,196,0,0,0.571428571428571,0,0,0,2,0,1.5,0,0.5,0,1.5,0,0.0833333333333333,0
5,8813,0,0,0,0,0,0,2,0,1.5,0,0.5,0,0,0,0,0
5,209,0,0,0.5,0,0,0,0,4,0,3,0,1,0.230769230769231,0,1,0
6,201,4.125,1.375,6.6,2.2,2.2,11,1.83333333333333,11,0.666666666666667,4,4,4,1.5,0.5,12,4
7,201,0.75,0.222222222222222,0.75,0.285714285714286,1,0.333333333333333,1,0.5,1.5,1.5,0,0,4.5,1.5,0,0
8,200,0,0,3.25,1.6,0,0,4,3.33333333333333,4,5,12,7.5,6.5,4,9.75,8
8,1027,0,0,0,0,0,0,0.142857142857143,2,0.125,2,3,6,0,0,3,0
1,1027,0,0,0,0,1.125,18,0.857142857142857,12,1,16,13,26,0,0,13,0
9,195,1,0.857142857142857,1.14285714285714,0.888888888888889,0,3,0,4,0,8,0,7,2.66666666666667,2,14,14
10,8814,0,0,0,0,0.5,0,0,0,1.5,0,1.5,0,0,0,0,0
10,8815,0,0,0,0,0,1,0,0,0.375,3,3,3,0,0,0,0
11,8815,0,0,0,0,0.5,0.142857142857143,0.5,0.142857142857143,1,1,0.5,0.142857142857143,0,0,0,0
12,1022,0.181818181818182,0.166666666666667,0,0,0,2,0,0,0,3,0,3,0.3,0.25,3,3
12,8816,0,0,0,0,1,0,0,0,1.5,0,1.5,0,0,0,0,0
13,8817,0,0,0,0,1,0,0,0,2,0,0.5,0,0,0,0,0
13,1027,0,0,0,0,1,0.666666666666667,0,0,2,4,0.5,0.4,2,0,0,0
14,200,6.5,4.8,1.85714285714286,1.33333333333333,4.8,30,1.14285714285714,10,1.14285714285714,10,40,50,1.85714285714286,1.6,65,40
15,200,10.8333333333333,10,0,0,8,50,0,0,3.2,20,40,50,5.2,4,65,40
16,1123,1.5,0.857142857142857,2.4,1,0.857142857142857,12,1.2,12,1.5,18,9,18,3,1.5,18,9
16,1018,0,2,0,2.4,0,12,0,12,0,18,0,18,0,3.6,9,18
9,8818,0,0,0,0,1.5,0,2,0,4,0,3.5,0,0,0,0,0
9,200,6.5,4.8,7.42857142857143,5.33333333333333,12,6,16,6.66666666666667,32,40,28,35,52,32,22.75,14
18,4797,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0
19,1188,7.5,1,24.75,2.2,17.5,25,38.5,55,45.5,65,49,35,58.5,6.5,63,7
20,1188,2.57142857142857,0.333333333333333,5.4,0.6,7,10,10.5,15,10.5,15,14,10,13.5,1.5,18,2
21,1534,0,0,0.5,1.2,0,0,4,1.8,20,22.5,8,4.5,10,15,1.33333333333333,2.4
22,1676,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0
24,8820,0,0,0,0,0,0,0,0,1.5,0.5,1.5,0.2,0,0,0,0
24,532,0,0,0,0,0,0,0,0,0.125,3,1,3,0.0769230769230769,0.166666666666667,1,1
25,1534,0,0,0,0,0,0,0,0,4,4.5,0,0,2,3,0,0
26,1534,0,0,0,0,0,0,0,0,8,9,8,6,4,6,2,4
27,1188,0,0,0,0,0,0,0,0,3.5,2.5,7,1.66666666666667,4.5,0.5,3.6,0.25
27,2023,0,0,0,0,0,0,0,0,0,1,0,2,0.166666666666667,0,2,0
27,8821,0,0,0,0,0,0,0,0,0.142857142857143,1,2,2,0,0,0,0
20,1192,7.6,6,14.25,12,11,4.8,16.5,12,16.5,18,11,8,28.5,18,7.6,6
26,1192,0,0,0,0,0,0,0,0,4.4,24,22,24,7.6,6,38,24
29,1192,0,0,0,0,0,0,0,0,0,12,11,12,0,0,19,12
29,8822,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
