QUARTER,TIME_REMAINING,TORONTO_ACTION,MILWAUKEE_ACTION,TORONTO_SCORE,MILWAUKEE_SCORE
1,11:41.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,0,0
1,11:36.0,,Offensive rebound by G. Antetokounmpo,0,0
1,11:36.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,0,2
1,11:17.0,M. Gasol misses 2-pt dunk from 5 ft (block by G. Antetokounmpo),,0,2
1,11:17.0,Offensive rebound by D. Green,,0,2
1,11:16.0,Turnover by K. Lowry (bad pass),,0,2
1,11:09.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),0,4
1,10:54.0,Turnover by K. Lowry (bad pass),,0,4
1,10:34.0,,B. Lopez misses 2-pt jump shot from 7 ft,0,4
1,10:32.0,Defensive rebound by M. Gasol,,0,4
1,10:23.0,M. Gasol misses 3-pt jump shot from 29 ft,,0,4
1,10:20.0,Offensive rebound by K. Lowry,,0,4
1,10:19.0,D. Green misses 3-pt jump shot from 29 ft,,0,4
1,10:17.0,,Defensive rebound by G. Antetokounmpo,0,4
1,10:14.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,0,4
1,10:12.0,,Offensive rebound by N. Mirotić,0,4
1,10:12.0,,N. Mirotić makes 2-pt layup from 2 ft,0,6
1,9:56.0,M. Gasol misses 2-pt hook shot from 9 ft,,0,6
1,9:55.0,,Defensive rebound by E. Bledsoe,0,6
1,9:38.0,,N. Mirotić makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),0,9
1,9:36.0,Toronto full timeout,,0,9
1,9:16.0,M. Gasol misses 2-pt layup from 3 ft (block by B. Lopez),,0,9
1,9:14.0,,Defensive rebound by E. Bledsoe,0,9
1,9:06.0,,Personal foul by K. Lowry (drawn by N. Mirotić),0,9
1,8:59.0,,E. Bledsoe misses 2-pt layup from 4 ft (block by M. Gasol),0,9
1,8:57.0,Defensive rebound by M. Gasol,,0,9
1,8:47.0,D. Green makes 3-pt jump shot from 23 ft (assist by P. Siakam),,3,9
1,8:34.0,,N. Mirotić makes 2-pt jump shot from 13 ft (assist by K. Middleton),3,11
1,8:30.0,Personal foul by G. Antetokounmpo (drawn by K. Lowry),,3,11
1,8:24.0,Personal foul by K. Middleton (drawn by K. Leonard),,3,11
1,8:05.0,D. Green misses 2-pt jump shot from 3 ft,,3,11
1,8:02.0,,Defensive rebound by G. Antetokounmpo,3,11
1,8:00.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),3,14
1,7:48.0,P. Siakam makes 2-pt jump shot from 8 ft,,5,14
1,7:39.0,,Turnover by G. Antetokounmpo (lost ball; steal by P. Siakam),5,14
1,7:33.0,K. Leonard makes 2-pt layup from 2 ft,,7,14
1,7:16.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,7,14
1,7:09.0,Defensive rebound by M. Gasol,,7,14
1,7:09.0,Personal foul by N. Mirotić (drawn by D. Green),,7,14
1,7:09.0,,E. İlyasova enters the game for B. Lopez,7,14
1,6:59.0,K. Leonard makes 2-pt jump shot from 7 ft,,9,14
1,6:44.0,,N. Mirotić misses 3-pt jump shot from 26 ft,9,14
1,6:41.0,Defensive rebound by K. Leonard,,9,14
1,6:34.0,Turnover by M. Gasol (lost ball; steal by E. İlyasova),,9,14
1,6:34.0,,Personal take foul by M. Gasol (drawn by E. İlyasova),9,14
1,6:34.0,,Milwaukee full timeout,9,14
1,6:34.0,,M. Brogdon enters the game for E. Bledsoe,9,14
1,6:34.0,,G. Hill enters the game for N. Mirotić,9,14
1,6:12.0,,E. İlyasova misses 3-pt jump shot from 27 ft,9,14
1,6:09.0,Defensive rebound by K. Lowry,,9,14
1,5:57.0,K. Lowry misses 3-pt jump shot from 27 ft,,9,14
1,5:54.0,,Defensive rebound by M. Brogdon,9,14
1,5:46.0,,E. İlyasova makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),9,17
1,5:33.0,Turnover by M. Gasol (bad pass; steal by G. Antetokounmpo),,9,17
1,5:26.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,9,19
1,5:06.0,P. Siakam misses 3-pt jump shot from 26 ft,,9,19
1,5:02.0,,Defensive rebound by G. Hill,9,19
1,4:43.0,,Turnover by G. Antetokounmpo (lost ball; steal by D. Green),9,19
1,4:36.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Leonard),,11,19
1,4:17.0,,M. Brogdon makes 2-pt jump shot from 16 ft,11,21
1,4:09.0,K. Lowry makes 2-pt layup from 3 ft,,13,21
1,3:56.0,,E. İlyasova misses 3-pt jump shot from 27 ft,13,21
1,3:53.0,Defensive rebound by K. Leonard,,13,21
1,3:44.0,M. Gasol makes 2-pt jump shot from 16 ft (assist by K. Lowry),,15,21
1,3:21.0,,K. Middleton makes 2-pt jump shot from 22 ft (assist by M. Brogdon),15,23
1,3:08.0,K. Lowry misses 3-pt jump shot from 29 ft,,15,23
1,3:04.0,,Defensive rebound by G. Antetokounmpo,15,23
1,2:59.0,,Shooting foul by P. Siakam (drawn by G. Antetokounmpo),15,23
1,2:59.0,,G. Antetokounmpo makes free throw 1 of 2,15,24
1,2:59.0,S. Ibaka enters the game for M. Gasol,,15,24
1,2:59.0,N. Powell enters the game for K. Leonard,,15,24
1,2:59.0,,P. Connaughton enters the game for M. Brogdon,15,24
1,2:59.0,,B. Lopez enters the game for K. Middleton,15,24
1,2:59.0,,G. Antetokounmpo makes free throw 2 of 2,15,25
1,2:57.0,Personal take foul by P. Connaughton (drawn by K. Lowry),,15,25
1,2:57.0,,M. Brogdon enters the game for G. Antetokounmpo,15,25
1,2:47.0,D. Green misses 2-pt jump shot from 13 ft,,15,25
1,2:43.0,,Defensive rebound by M. Brogdon,15,25
1,2:35.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by B. Lopez),15,28
1,2:14.0,Offensive foul by S. Ibaka (drawn by E. İlyasova),,15,28
1,2:14.0,Turnover by S. Ibaka (offensive foul),,15,28
1,2:14.0,F. VanVleet enters the game for D. Green,,15,28
1,1:58.0,,M. Brogdon makes 3-pt jump shot from 26 ft (assist by G. Hill),15,31
1,1:45.0,P. Siakam misses 2-pt jump shot from 15 ft,,15,31
1,1:42.0,,Defensive rebound by B. Lopez,15,31
1,1:40.0,,B. Lopez misses 3-pt jump shot from 29 ft,15,31
1,1:38.0,Defensive rebound by K. Lowry,,15,31
