"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
NA,NA,6,5,5,4,5,1,4,1,4,1,1,1,6,3,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,6,Inf,5,Inf,1,Inf,1,Inf,1,1,1,Inf,6,1,1
NA,NA,Inf,Inf,7,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,12,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,10,Inf,Inf,1,Inf,1,Inf,1,1,1,13,Inf,1,1
NA,NA,8,8,5,7,5,1,6,1,8,1,1,1,8,7,1,1
NA,NA,10,11,8,7,2,6,2,4,2,2,2,Inf,2,2,Inf,Inf
NA,NA,6,5,5,4,2,4,2,3,2,2,2,3,2,2,4,3
NA,NA,Inf,Inf,Inf,Inf,7,1,6,1,12,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,6,1,6,1,12,1,1,1,Inf,Inf,1,1
NA,NA,6,9,5,9,Inf,1,Inf,1,Inf,1,1,1,6,8,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,8,1,7,1,8,1,1,1,Inf,Inf,1,1
NA,NA,Inf,Inf,Inf,Inf,2,7,2,7,2,2,2,6,2,2,Inf,Inf
NA,NA,11,12,10,11,Inf,1,Inf,1,Inf,1,1,1,10,11,1,1
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,Inf,2,Inf,2,2,2,Inf,2,2,Inf,Inf
NA,NA,Inf,Inf,Inf,Inf,2,6,2,Inf,2,2,2,5,2,2,Inf,Inf
NA,NA,6,6,5,4,5,1,4,1,7,1,1,1,6,5,1,1
NA,NA,6,4,5,4,5,1,4,1,6,1,1,1,5,4,1,1
NA,NA,8,7,7,6,7,1,5,1,6,1,1,1,6,6,1,1
