"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0
1,8786,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0
2,8786,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
2,8787,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
5,196,0,0,0.625,0,0,39,0,30,0,45,45,45,0,0,60,90
5,8788,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
5,209,0,0,0.330578512396694,0,0,39,0,30,0,45,45,45,0,0,60,90
6,201,0.8125,1.21875,1.6,1.22448979591837,0,39,0,30,0,45,45,45,0.9375,1.83673469387755,60,90
8,200,1.44444444444444,3.12,1.6,3.75,9.75,2.4375,7.5,3.33333333333333,11.25,11.25,11.25,5,15,22.5,3.75,10
8,1023,0,0,0,0,0.795918367346939,39,0.833333333333333,30,0.371900826446281,45,45,45,0,0,60,90
1,1023,0,0,0,0,0,0,0.833333333333333,3.33333333333333,0,0,0,0,0,0,0,0
9,195,1.44444444444444,0.78,1.6,0.740740740740741,0,39,0,30,0,45,45,45,1.66666666666667,1.40625,60,90
10,8789,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
10,8790,0,0,0,0,0.609375,39,0.612244897959184,30,0.703125,45,45,45,0,0,60,90
11,8790,0,0,0,0,9.75,0.795918367346939,7.5,0.833333333333333,11.25,11.25,11.25,1.25,15,22.5,0,0
12,1018,0.52,0.541666666666667,0.493827160493827,0.6,0,39,0,30,0,45,45,45,0.6,0.743801652892562,60,90
13,8792,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
13,1023,0,0,0,0,9.75,0.795918367346939,7.5,0,11.25,11.25,11.25,1.25,15,22.5,0,0
14,200,1.44444444444444,2.16666666666667,1.6,3.75,1.08333333333333,39,1.875,30,0.703125,45,45,45,1.66666666666667,3.6,60,90
15,200,1.44444444444444,4.875,1.6,3.75,1.56,39,1.875,30,1.25,45,45,45,2.4,5.625,60,90
16,1119,0.8125,0,0.816326530612245,0,0.795918367346939,39,1.2,30,1.25,45,45,45,1.22448979591837,0,60,90
16,1014,0,2.16666666666667,0,2.4,0,39,0,30,0,45,45,45,0,2.5,60,90
9,8793,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
9,200,1.06122448979592,1.59183673469388,0.816326530612245,2.4,9.75,1.56,7.5,1.875,11.25,11.25,11.25,11.25,15,22.5,3.75,5.625
18,4784,0,0,0.236686390532544,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
19,1184,0.8125,2.16666666666667,0.816326530612245,2.4,9.75,39,7.5,30,11.25,45,45,45,15,22.5,60,90
20,1184,0.641975308641975,2.16666666666667,0.816326530612245,2.4,9.75,39,7.5,30,11.25,45,45,45,15,22.5,60,90
21,1530,0.8125,2.16666666666667,1.11111111111111,3.75,9.75,1.56,7.5,1.875,11.25,11.25,11.25,2.8125,15,22.5,1.22448979591837,3.6
23,8795,0,0,0,0,0.609375,39,0.612244897959184,30,0,45,45,45,0,0,60,90
24,8795,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,1.25,15,22.5,0,0
24,532,0,0,0,0,0,39,0,30,0.555555555555556,45,45,45,0,2.5,60,90
25,1530,0.52,1.59183673469388,0,0,9.75,1.08333333333333,7.5,0,11.25,11.25,11.25,2.8125,15,22.5,1.22448979591837,5.625
26,1530,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,5,15,22.5,3.75,10
27,1184,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,1.25,15,22.5,0.9375,1.11111111111111
27,2019,0,0,0,0,0,39,0,30,0,45,45,45,0,0,60,90
27,8796,0,0,0,0,0,39,0,30,0.555555555555556,45,45,45,0,0,60,90
20,1188,2.08,3.12,1.6,6.66666666666667,9.75,1.56,7.5,3.33333333333333,11.25,11.25,11.25,2.8125,15,22.5,2.4,5.625
26,1188,0,0,0,0,0,39,0,30,1.8,45,45,45,2.4,5.625,60,90
29,1188,0,0,0,0,0,39,0,30,0,45,45,45,0,0,60,90
29,8797,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
30,1672,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
32,8795,0,0,0,0,0.795918367346939,39,0.833333333333333,30,0.555555555555556,45,45,45,0,0,60,90
33,8795,0,0,0,0,9.75,0.481481481481481,7.5,0,11.25,11.25,11.25,0.918367346938776,15,22.5,0,0
34,1530,1.06122448979592,3.12,0.816326530612245,2.4,9.75,2.4375,7.5,1.875,11.25,11.25,11.25,1.8,15,22.5,1.66666666666667,3.6
20,1530,0.8125,3.12,1.11111111111111,3.75,9.75,1.56,7.5,3.33333333333333,11.25,11.25,11.25,1.8,15,22.5,1.66666666666667,3.6
19,1188,1.44444444444444,4.875,1.6,6.66666666666667,1.56,39,1.875,30,1.25,45,45,45,1.66666666666667,3.6,60,90
35,1188,1.44444444444444,3.12,2.5,6.66666666666667,9.75,2.4375,7.5,3.33333333333333,11.25,11.25,11.25,2.8125,15,22.5,3.75,10
35,1527,0.8125,0,0.816326530612245,0,9.75,1.56,7.5,1.875,11.25,11.25,11.25,1.25,15,22.5,1.22448979591837,0
36,8798,0,0,0,0,9.75,39,7.5,30,11.25,45,45,45,15,22.5,60,90
37,8798,0,0,0,0,9.75,1.56,7.5,1.875,11.25,11.25,11.25,2.8125,15,22.5,0,0
38,8800,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
38,8801,0,0,0,0,0.39,39,0.46875,30,0.45,45,45,45,0,0,60,90
40,8802,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
41,8803,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0.703125,15,22.5,0,0
43,8804,0,0,0,0,9.75,0,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
43,8799,0,0,0,0,0,39,0,30,0,45,45,45,0,0,60,90
45,8798,0,0,0,0,9.75,0,7.5,1.2,11.25,11.25,11.25,1.8,15,22.5,0,0
46,8805,0,0,0,0,0,39,0,30,0,45,45,45,0,0,60,90
47,8805,0,0,0,0,9.75,0.795918367346939,7.5,0,11.25,11.25,11.25,0,15,22.5,0,0
47,8806,0,0,0,0,0,39,0,30,0,45,45,45,0,0,60,90
