"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,1.44444444444444,3.12,1.6,3.75,1.56,39,1.875,30,1.8,45,45,45,1.66666666666667,10,60,90
1,8786,0,0,0,0,6.5,0,5,0,7.5,0,7.5,0,0,0,0,0
2,8786,0,0,0,0,4,0,1.5,0,1.5,0,0.5,0,0,0,0,0
2,8787,0,0,0,0,2,0,0.75,0,0.75,0,0.25,0,0,0,0,0
5,196,0,0,0.046875,0,0,0,0,3,0,1,0,2,0,0,2,0
5,8788,0,0,0,0,0,0,0.75,0,0.25,0,0.5,0,0,0,0,0
5,209,0,0,0.0247933884297521,0,0,0,0,3,0,1,0,2,0,0,2,0
6,201,0.46875,0.15625,1.2,0.204081632653061,0,10,0,10,0,5,0,4,0.234375,0.102040816326531,12,4
8,200,1.44444444444444,1.28,1.04,1,8,2.75,4,2.44444444444444,6,8.25,12,7.33333333333333,9.75,6,4.875,5.33333333333333
8,1023,0,0,0,0,0.0816326530612245,8,0.0555555555555556,4,0.0247933884297521,6,6,12,0,0,6,0
1,1023,0,0,0,0,0.361111111111111,26,0.277777777777778,20,0.12396694214876,30,15,30,0,0,15,0
9,195,0.166666666666667,0.06,0.4,0.123456790123457,0,3,0,5,0,7,0,6,0.388888888888889,0.21875,12,12
10,8789,0,0,0,0,0.5,0,0.25,0,0.75,0,0.75,0,0,0,0,0
10,8790,0,0,0,0,0.03125,2,0.0204081632653061,1,0.046875,3,3,3,0,0,0,0
11,8790,0,0,0,0,0.25,0.0204081632653061,0.25,0.0277777777777778,0.75,0.75,0.25,0.0277777777777778,0,0,0,0
12,1018,0.03,0.0208333333333333,0.0123456790123457,0.01,0,3,0,1,0,3,0,2,0.03,0.0247933884297521,2,2
13,8792,0,0,0,0,0.5,0,0,0,1.25,0,0.5,0,0,0,0,0
13,1023,0,0,0,0,0.5,0.111111111111111,0,0,1.25,2.5,0.5,0.16,1.25,0,0,0
14,200,2.16666666666667,1.33333333333333,1.04,1,1.33333333333333,66,1,22,0.125,11,56,77,0.361111111111111,0.32,91,56
15,200,2.52777777777778,3.5,2.08,2,2.24,77,2,44,1.33333333333333,66,64,88,3.12,3,104,64
16,1119,0.09375,0,0.204081632653061,0,0.122448979591837,12,0.4,20,0.222222222222222,16,9,18,0.163265306122449,0,9,0
16,1014,0,0.333333333333333,0,0.8,0,6,0,10,0,8,0,9,0,0.444444444444444,9,18
9,8793,0,0,0,0,0.75,0,1.25,0,1.75,0,1.5,0,0,0,0,0
