"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,1.33333333333333,2.88,1.6,3.75,1.44,36,1.875,30,3,48,45,45,1.77777777777778,10.6666666666667,60,90
1,8811,0,0,0,0,6,0,5,0,8,0,7.5,0,0,0,0,0
2,8811,0,0,0,0,4.5,0,2,0,1.5,0,0.5,0,0,0,0,0
2,8812,0,0,0,0,2.25,0,1,0,0.75,0,0.25,0,0,0,0,0
4,1018,0,0.388888888888889,0,0.24,0,14,0,6,0,10,0,8,0,0.277777777777778,4,8
5,196,0,0,0.0816326530612245,0,0,0,1,0,0.75,0,0.25,0,0.75,0,0.00694444444444444,0
5,8813,0,0,0,0,0,0,1,0,0.75,0,0.25,0,0,0,0,0
5,209,0,0,0.04,0,0,0,0,4,0,3,0,1,0.0177514792899408,0,1,0
6,201,0.5625,0.1875,1.32,0.224489795918367,0.48,12,0.305555555555556,11,0.078125,5,4,4,0.234375,0.102040816326531,12,4
7,201,0.06,0.0165289256198347,0.28125,0.122448979591837,0.5,0.0555555555555556,1.5,0.375,1.5,1.5,0,0,4.5,1.5,0,0
8,200,1.08333333333333,0.96,1.56,1.5,6,1.875,6,3.33333333333333,6,7.5,12,6.66666666666667,9.75,6,4.875,5.33333333333333
8,1027,0,0,0,0,0.0612244897959184,6,0.0833333333333333,6,0.0208333333333333,6,6,12,0,0,6,0
1,1027,0,0,0,0,0.333333333333333,24,0.277777777777778,20,0.111111111111111,32,15,30,0,0,15,0
9,195,0.166666666666667,0.0740740740740741,0.48,0.148148148148148,0,3,0,6,0,8,0,7,0.444444444444444,0.25,14,14
10,8814,0,0,0,0,0.5,0,0.25,0,0.75,0,0.75,0,0,0,0,0
10,8815,0,0,0,0,0.03125,2,0.0204081632653061,1,0.046875,3,3,3,0,0,0,0
11,8815,0,0,0,0,0.25,0.0204081632653061,0.25,0.0204081632653061,0.75,0.75,0.25,0.0277777777777778,0,0,0,0
12,1022,0.0165289256198347,0.0138888888888889,0.01,0.00826446280991736,0,2,0,1,0,4,0,3,0.04,0.0330578512396694,3,3
12,8816,0,0,0,0,0.5,0,0.25,0,1,0,0.75,0,0,0,0,0
13,8817,0,0,0,0,0.5,0,0,0,1.25,0,0.5,0,0,0,0,0
13,1027,0,0,0,0,0.5,0.111111111111111,0,0,1.25,2.5,0.5,0.16,1.25,0,0,0
14,200,2.16666666666667,1.33333333333333,2.08,2,1.92,60,2,40,0.163265306122449,10,56,70,0.361111111111111,0.32,91,56
15,200,3.25,4.5,2.08,2,2.88,90,2,40,1.55555555555556,70,72,90,3.64,3.5,117,72
16,1123,0.21875,0.142857142857143,0.408163265306122,0.277777777777778,0.142857142857143,14,0.4,20,0.305555555555556,22,9,18,0.611111111111111,0.305555555555556,18,9
16,1018,0,0.388888888888889,0,0.8,0,14,0,20,0,22,0,18,0,0.88,9,18
9,8818,0,0,0,0,0.75,0,1.5,0,2,0,1.75,0,0,0,0,0
9,200,0.795918367346939,0.489795918367347,1.59183673469388,1.92,6,1.875,12,3.75,16,20,14,17.5,26,16,5.6875,3.5
18,4797,0,0,0,0,0.5,0,1.5,0,2,0,0,0,1,0,0,0
19,1188,0.703125,0.2,2.02040816326531,0.44,8.75,25,19.25,55,22.75,65,49,35,29.25,3.25,63,7
20,1188,0.222222222222222,0.0555555555555556,0.551020408163265,0.12,3.5,10,5.25,15,5.25,15,14,10,6.75,0.75,18,2
21,1534,0.25,0.666666666666667,1.33333333333333,4.5,8,1.44,24,6.75,36,40.5,4,1.125,18,27,0.222222222222222,0.48
22,1676,0,0,0,0,0,0,0,0,0,6,1,6,0.01,0,1,0
24,8820,0,0,0,0,0,0,0,0,2.25,0.75,1.5,0.0555555555555556,0,0,0,0
24,532,0,0,0,0,0,0,0,0,0.037037037037037,9,2,6,0.0177514792899408,0.0833333333333333,2,2
25,1534,0.0493827160493827,0.122448979591837,0,0,2,0.25,0,0,2,2.25,2,0.5625,1,1.5,0.111111111111111,0.375
26,1534,0,0,0,0,0,0,0,0,8,9,12,2.16,4,6,1.5,4
27,1188,0,0,0,0,0,0,0,0,1.75,1.25,3.5,0.277777777777778,2.25,0.25,0.72,0.03125
27,2023,0,0,0,0,0,0,0,0,0,1,0,2,0.0277777777777778,0,2,0
27,8821,0,0,0,0,0,0,0,0,0.0123456790123457,1,2,2,0,0,0,0
20,1192,2.16,1.875,3.24,5,6,0.96,9,4,9,9,6,1.5,20.25,11.25,2.16,1.875
26,1192,0,0,0,0,0,0,0,0,1.92,48,72,72,4.32,3.75,162,90
29,1192,0,0,0,0,0,0,0,0,0,12,12,12,0,0,27,15
29,8822,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0
30,1676,0,0,0,0,0,0,0,0,0.25,1.5,0,0,0.25,0,0,0
31,1676,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0
32,8820,0,0,0,0,0.0612244897959184,1,0.25,3,0.21,7,21,7,0,0,0,0
33,8820,0,0,0,0,0.75,0.0123456790123457,0.75,0,1.5,0.5,3,0.16,0,0,0,0
34,1534,0.163265306122449,0.48,0.326530612244898,0.96,4,1.125,8,2.25,10,11.25,4,1.125,5,7.5,0.222222222222222,0.48
