id,players,team
61,"{'E. Gordon', 'P. Tucker', 'M. Carter-Williams', 'C. Paul', 'C. Anthony'}",HOU
62,"{'E. Gordon', 'G. Green', 'P. Tucker', 'C. Paul', 'C. Anthony'}",HOU
63,"{'E. Gordon', 'G. Green', 'J. Ennis', 'C. Paul', 'C. Capela'}",HOU
64,"{'J. Ennis', 'P. Tucker', 'M. Carter-Williams', 'C. Capela', 'J. Harden'}",HOU
65,"{'J. Ennis', 'P. Tucker', 'M. Carter-Williams', 'C. Anthony', 'J. Harden'}",HOU
66,"{'E. Gordon', 'P. Tucker', 'C. Paul', 'C. Anthony', 'J. Harden'}",HOU
67,"{'E. Gordon', 'C. Paul', 'C. Anthony', 'C. Capela', 'J. Harden'}",HOU
68,"{'M. Carter-Williams', 'C. Paul', 'C. Anthony', 'C. Capela', 'J. Harden'}",HOU
69,"{'E. Gordon', 'J. Ennis', 'C. Paul', 'C. Capela', 'J. Harden'}",HOU
70,"{'E. Gordon', 'J. Ennis', 'P. Tucker', 'M. Carter-Williams', 'J. Harden'}",HOU
71,"{'J. Ennis', 'M. Carter-Williams', 'G. Clark', 'I. Hartenstein', 'C. Paul'}",HOU
72,"{'G. Green', 'J. Ennis', 'M. Carter-Williams', 'G. Clark', 'I. Hartenstein'}",HOU
73,"{'B. Bogdanović', 'M. Turner', 'V. Oladipo', 'T. Young', 'D. Collison'}",IND
74,"{'B. Bogdanović', 'M. Turner', 'V. Oladipo', 'D. Sabonis', 'D. Collison'}",IND
75,"{'M. Turner', 'T. Evans', 'V. Oladipo', 'D. Sabonis', 'D. Collison'}",IND
76,"{'C. Joseph', 'T. Evans', 'T. Leaf', 'V. Oladipo', 'D. Sabonis'}",IND
77,"{'C. Joseph', 'T. Evans', 'V. Oladipo', 'D. Sabonis', 'T. Young'}",IND
78,"{'D. McDermott', 'C. Joseph', 'T. Evans', 'D. Sabonis', 'T. Young'}",IND
