B. Forbes,R. Gay,J. Poeltl,L. Aldridge,D. DeRozan,11,430
M. Belinelli,P. Gasol,P. Mills,L. Aldridge,D. DeRozan,2,34
M. Belinelli,P. Gasol,P. Mills,D. Bertāns,D. DeRozan,3,51
M. Belinelli,P. Gasol,P. Mills,D. Bertāns,D. Cunningham,0,67
M. Belinelli,P. Gasol,P. Mills,D. Bertāns,D. Cunningham,6,138
P. Mills,P. Gasol,B. Forbes,R. Gay,L. Aldridge,2,90
D. DeRozan,P. Gasol,B. Forbes,R. Gay,L. Aldridge,0,10
D. DeRozan,P. Gasol,B. Forbes,R. Gay,L. Aldridge,2,42
D. DeRozan,D. Bertāns,B. Forbes,R. Gay,L. Aldridge,9,141
D. DeRozan,D. Bertāns,B. Forbes,R. Gay,L. Aldridge,0,62
D. DeRozan,D. Bertāns,B. Forbes,R. Gay,L. Aldridge,0,21
D. DeRozan,D. Bertāns,P. Mills,R. Gay,L. Aldridge,3,120
D. DeRozan,D. Bertāns,P. Mills,P. Gasol,L. Aldridge,3,59
D. DeRozan,M. Belinelli,P. Mills,P. Gasol,L. Aldridge,9,152
D. DeRozan,M. Belinelli,B. Forbes,D. Cunningham,L. Aldridge,0,23
J. Poeltl,L. Aldridge,B. Forbes,R. Gay,D. DeRozan,8,144
P. Gasol,L. Aldridge,B. Forbes,R. Gay,D. DeRozan,9,194
P. Gasol,L. Aldridge,B. Forbes,R. Gay,D. DeRozan,8,170
P. Mills,M. Belinelli,D. Cunningham,J. Poeltl,D. DeRozan,0,5
P. Mills,M. Belinelli,D. Cunningham,J. Poeltl,D. Bertāns,4,113
P. Mills,M. Belinelli,D. Cunningham,J. Poeltl,D. Bertāns,3,94
D. Bertāns,D. Cunningham,P. Mills,M. Belinelli,L. Aldridge,5,108
D. DeRozan,D. Cunningham,P. Mills,M. Belinelli,L. Aldridge,4,79
D. DeRozan,B. Forbes,R. Gay,M. Belinelli,L. Aldridge,6,127
D. DeRozan,B. Forbes,R. Gay,P. Mills,L. Aldridge,0,46
D. DeRozan,B. Forbes,D. Cunningham,P. Mills,L. Aldridge,4,152
D. Eubanks,C. Metu,D. Cunningham,Q. Pondexter,D. Bertāns,0,26
D. Eubanks,C. Metu,D. Cunningham,Q. Pondexter,D. Bertāns,7,182
