W. Ellington,R. Jackson,B. Griffin,B. Brown,A. Drummond,23,504
L. Kennard,I. Smith,B. Griffin,B. Brown,A. Drummond,2,61
L. Kennard,I. Smith,T. Maker,B. Brown,A. Drummond,6,62
L. Kennard,I. Smith,T. Maker,L. Galloway,A. Drummond,5,93
T. Maker,Z. Pachulia,I. Smith,L. Galloway,L. Kennard,8,343
A. Drummond,B. Griffin,R. Jackson,L. Galloway,L. Kennard,0,68
A. Drummond,B. Griffin,R. Jackson,L. Galloway,L. Kennard,5,117
A. Drummond,B. Griffin,R. Jackson,B. Brown,W. Ellington,6,192
R. Jackson,W. Ellington,B. Griffin,B. Brown,A. Drummond,9,229
R. Jackson,W. Ellington,B. Griffin,B. Brown,A. Drummond,8,201
I. Smith,W. Ellington,B. Griffin,B. Brown,A. Drummond,2,56
I. Smith,W. Ellington,B. Griffin,B. Brown,A. Drummond,8,119
I. Smith,L. Kennard,T. Maker,B. Brown,A. Drummond,2,115
T. Maker,Z. Pachulia,L. Galloway,I. Smith,L. Kennard,3,120
T. Maker,Z. Pachulia,L. Galloway,I. Smith,L. Kennard,0,23
B. Griffin,Z. Pachulia,L. Galloway,I. Smith,L. Kennard,4,56
B. Griffin,Z. Pachulia,L. Galloway,I. Smith,L. Kennard,4,32
B. Griffin,A. Drummond,L. Galloway,I. Smith,L. Kennard,5,177
B. Griffin,A. Drummond,L. Galloway,I. Smith,L. Kennard,0,26
B. Griffin,A. Drummond,B. Brown,R. Jackson,L. Kennard,7,117
B. Griffin,A. Drummond,B. Brown,R. Jackson,W. Ellington,0,77
B. Griffin,A. Drummond,B. Brown,R. Jackson,W. Ellington,0,31
B. Griffin,A. Drummond,B. Brown,R. Jackson,W. Ellington,3,33
B. Griffin,L. Kennard,L. Galloway,R. Jackson,W. Ellington,1,3
B. Griffin,A. Drummond,B. Brown,R. Jackson,W. Ellington,2,25
