K. Leonard,F. VanVleet,M. Gasol,D. Green,P. Siakam,24,501
O. Anunoby,N. Powell,M. Gasol,D. Green,P. Siakam,0,37
O. Anunoby,N. Powell,S. Ibaka,D. Green,P. Siakam,5,64
O. Anunoby,N. Powell,S. Ibaka,J. Lin,P. Siakam,10,118
J. Lin,K. Leonard,O. Anunoby,N. Powell,S. Ibaka,7,212
J. Lin,K. Leonard,O. Anunoby,N. Powell,S. Ibaka,0,18
F. VanVleet,K. Leonard,O. Anunoby,N. Powell,S. Ibaka,3,35
F. VanVleet,K. Leonard,O. Anunoby,N. Powell,S. Ibaka,0,15
F. VanVleet,P. Siakam,O. Anunoby,N. Powell,S. Ibaka,0,26
F. VanVleet,P. Siakam,D. Green,P. McCaw,S. Ibaka,2,68
F. VanVleet,P. Siakam,K. Leonard,P. McCaw,S. Ibaka,0,8
F. VanVleet,P. Siakam,K. Leonard,P. McCaw,M. Gasol,2,28
F. VanVleet,P. Siakam,K. Leonard,P. McCaw,M. Gasol,7,175
F. VanVleet,P. Siakam,K. Leonard,S. Ibaka,D. Green,3,135
M. Gasol,K. Leonard,D. Green,F. VanVleet,P. Siakam,15,373
M. Gasol,K. Leonard,D. Green,F. VanVleet,P. Siakam,8,96
S. Ibaka,N. Powell,D. Green,F. VanVleet,P. Siakam,0,112
S. Ibaka,N. Powell,J. Lin,F. VanVleet,P. Siakam,0,49
S. Ibaka,N. Powell,J. Lin,O. Anunoby,P. Siakam,3,26
S. Ibaka,N. Powell,J. Lin,O. Anunoby,P. Siakam,3,61
S. Ibaka,N. Powell,J. Lin,O. Anunoby,P. McCaw,0,3
O. Anunoby,N. Powell,K. Leonard,S. Ibaka,J. Lin,3,215
F. VanVleet,N. Powell,K. Leonard,S. Ibaka,J. Lin,1,32
F. VanVleet,D. Green,K. Leonard,S. Ibaka,J. Lin,4,66
F. VanVleet,D. Green,P. Siakam,S. Ibaka,J. Lin,0,30
F. VanVleet,D. Green,P. Siakam,S. Ibaka,J. Lin,4,79
F. VanVleet,D. Green,P. Siakam,M. Gasol,K. Leonard,6,279
F. VanVleet,D. Green,P. Siakam,M. Gasol,K. Leonard,13,19
