B. Forbes,R. Gay,J. Poeltl,L. Aldridge,D. DeRozan,11
M. Belinelli,P. Gasol,P. Mills,L. Aldridge,D. DeRozan,2
M. Belinelli,P. Gasol,P. Mills,D. Bertāns,D. DeRozan,3
M. Belinelli,P. Gasol,P. Mills,D. Bertāns,D. Cunningham,0
M. Belinelli,P. Gasol,P. Mills,D. Bertāns,D. Cunningham,0
P. Mills,P. Gasol,B. Forbes,R. Gay,L. Aldridge,8
D. DeRozan,P. Gasol,B. Forbes,R. Gay,L. Aldridge,0
D. DeRozan,P. Gasol,B. Forbes,R. Gay,L. Aldridge,2
D. DeRozan,D. Bertāns,B. Forbes,R. Gay,L. Aldridge,9
D. DeRozan,D. Bertāns,B. Forbes,R. Gay,L. Aldridge,0
D. DeRozan,D. Bertāns,B. Forbes,R. Gay,L. Aldridge,0
D. DeRozan,D. Bertāns,P. Mills,R. Gay,L. Aldridge,3
D. DeRozan,D. Bertāns,P. Mills,P. Gasol,L. Aldridge,3
D. DeRozan,M. Belinelli,P. Mills,P. Gasol,L. Aldridge,9
D. DeRozan,M. Belinelli,B. Forbes,D. Cunningham,L. Aldridge,0
J. Poeltl,L. Aldridge,B. Forbes,R. Gay,D. DeRozan,8
P. Gasol,L. Aldridge,B. Forbes,R. Gay,D. DeRozan,9
P. Gasol,L. Aldridge,B. Forbes,R. Gay,D. DeRozan,8
P. Mills,M. Belinelli,D. Cunningham,J. Poeltl,D. DeRozan,0
P. Mills,M. Belinelli,D. Cunningham,J. Poeltl,D. Bertāns,4
P. Mills,M. Belinelli,D. Cunningham,J. Poeltl,D. Bertāns,0
D. Bertāns,D. Cunningham,P. Mills,M. Belinelli,L. Aldridge,8
D. DeRozan,D. Cunningham,P. Mills,M. Belinelli,L. Aldridge,4
D. DeRozan,B. Forbes,R. Gay,M. Belinelli,L. Aldridge,6
D. DeRozan,B. Forbes,R. Gay,P. Mills,L. Aldridge,0
D. DeRozan,B. Forbes,D. Cunningham,P. Mills,L. Aldridge,4
D. Eubanks,C. Metu,D. Cunningham,Q. Pondexter,D. Bertāns,0
D. Eubanks,C. Metu,D. Cunningham,Q. Pondexter,D. Bertāns,7
