R. Jackson,G. Robinson,L. Galloway,B. Griffin,A. Drummond,11,334
S. Johnson,I. Smith,L. Galloway,B. Griffin,A. Drummond,2,76
S. Johnson,I. Smith,L. Galloway,B. Griffin,A. Drummond,4,145
S. Johnson,I. Smith,L. Kennard,B. Griffin,A. Drummond,2,62
S. Johnson,I. Smith,L. Kennard,B. Brown,A. Drummond,2,45
S. Johnson,I. Smith,L. Kennard,B. Brown,A. Drummond,0,58
S. Johnson,L. Kennard,B. Brown,Z. Pachulia,I. Smith,2,120
S. Johnson,L. Kennard,B. Brown,Z. Pachulia,I. Smith,2,99
S. Johnson,L. Kennard,B. Brown,Z. Pachulia,I. Smith,0,21
B. Griffin,R. Jackson,B. Brown,Z. Pachulia,I. Smith,4,100
B. Griffin,R. Jackson,L. Galloway,Z. Pachulia,I. Smith,2,99
B. Griffin,R. Jackson,L. Galloway,A. Drummond,I. Smith,5,53
B. Griffin,R. Jackson,L. Galloway,A. Drummond,S. Johnson,0,58
B. Griffin,R. Jackson,L. Galloway,A. Drummond,S. Johnson,5,71
B. Griffin,R. Jackson,L. Galloway,A. Drummond,S. Johnson,4,99
G. Robinson,L. Galloway,R. Jackson,A. Drummond,B. Griffin,4,205
S. Johnson,L. Galloway,R. Jackson,A. Drummond,B. Griffin,3,96
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,3,73
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,3,59
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,2,38
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,0,14
S. Johnson,B. Brown,J. Calderón,Z. Pachulia,B. Griffin,2,73
S. Johnson,B. Brown,J. Calderón,Z. Pachulia,B. Griffin,0,134
S. Johnson,B. Brown,J. Calderón,Z. Pachulia,B. Griffin,2,28
S. Johnson,L. Galloway,A. Drummond,R. Jackson,B. Brown,4,88
K. Thomas,L. Galloway,A. Drummond,R. Jackson,B. Brown,2,24
K. Thomas,L. Galloway,A. Drummond,R. Jackson,B. Brown,0,12
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,0,32
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,2,97
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,0,8
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,0,16
K. Thomas,J. Leuer,A. Drummond,R. Jackson,B. Brown,5,66
K. Thomas,J. Leuer,J. Calderón,Z. Pachulia,B. Brown,0,40
K. Thomas,J. Leuer,J. Calderón,Z. Pachulia,B. Brown,5,102
K. Thomas,J. Leuer,J. Calderón,Z. Pachulia,B. Brown,10,235
