G. Antetokounmpo,M. Brogdon,E. Bledsoe,B. Lopez,K. Middleton,12,289
S. Brown,D. Wilson,E. Bledsoe,B. Lopez,K. Middleton,5,65
S. Brown,D. Wilson,E. Bledsoe,B. Lopez,K. Middleton,2,49
S. Brown,D. Wilson,E. Bledsoe,B. Lopez,K. Middleton,7,124
S. Brown,E. İlyasova,G. Antetokounmpo,M. Brogdon,G. Hill,4,77
S. Brown,E. İlyasova,G. Antetokounmpo,M. Brogdon,G. Hill,3,57
T. Snell,E. İlyasova,G. Antetokounmpo,M. Brogdon,G. Hill,2,59
G. Hill,G. Antetokounmpo,E. İlyasova,M. Brogdon,T. Snell,2,125
E. Bledsoe,G. Antetokounmpo,E. İlyasova,M. Brogdon,T. Snell,0,27
E. Bledsoe,D. Wilson,E. İlyasova,M. Brogdon,T. Snell,0,22
E. Bledsoe,D. Wilson,E. İlyasova,M. Brogdon,T. Snell,2,38
E. Bledsoe,D. Wilson,B. Lopez,M. Brogdon,T. Snell,2,21
E. Bledsoe,D. Wilson,B. Lopez,M. Brogdon,T. Snell,1,68
E. Bledsoe,D. Wilson,B. Lopez,G. Hill,K. Middleton,2,52
E. Bledsoe,G. Antetokounmpo,B. Lopez,G. Hill,K. Middleton,2,56
E. Bledsoe,G. Antetokounmpo,B. Lopez,G. Hill,K. Middleton,4,131
M. Brogdon,G. Antetokounmpo,D. Wilson,S. Brown,K. Middleton,6,135
M. Brogdon,G. Antetokounmpo,D. Wilson,S. Brown,K. Middleton,1,45
M. Brogdon,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,14,320
S. Brown,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,1,27
S. Brown,G. Antetokounmpo,E. Bledsoe,B. Lopez,K. Middleton,4,64
S. Brown,G. Hill,D. Wilson,B. Lopez,K. Middleton,3,33
S. Brown,G. Hill,D. Wilson,B. Lopez,K. Middleton,3,57
S. Brown,G. Hill,D. Wilson,T. Maker,K. Middleton,5,138
S. Brown,G. Hill,M. Brogdon,T. Maker,G. Antetokounmpo,4,52
S. Brown,G. Hill,M. Brogdon,T. Maker,G. Antetokounmpo,1,29
T. Maker,S. Brown,M. Brogdon,E. Bledsoe,G. Antetokounmpo,0,23
B. Lopez,S. Brown,M. Brogdon,E. Bledsoe,G. Antetokounmpo,4,107
B. Lopez,G. Hill,M. Brogdon,E. Bledsoe,G. Antetokounmpo,6,118
B. Lopez,G. Hill,K. Middleton,E. Bledsoe,G. Antetokounmpo,0,19
B. Lopez,G. Hill,K. Middleton,E. Bledsoe,G. Antetokounmpo,2,94
B. Lopez,G. Hill,K. Middleton,M. Brogdon,G. Antetokounmpo,0,56
B. Lopez,G. Hill,K. Middleton,M. Brogdon,S. Brown,0,67
B. Lopez,E. Bledsoe,K. Middleton,M. Brogdon,G. Antetokounmpo,8,165
B. Lopez,E. Bledsoe,G. Hill,M. Brogdon,G. Antetokounmpo,4,71
