W. Johnson,N. Mirotić,E. Moore,J. Holiday,A. Davis,20,465
D. Miller,J. Randle,E. Moore,J. Holiday,A. Davis,0,23
D. Miller,J. Randle,E. Moore,J. Holiday,A. Davis,3,80
D. Miller,J. Randle,I. Clark,J. Holiday,A. Davis,0,49
D. Miller,J. Randle,I. Clark,T. Frazier,A. Davis,2,44
D. Miller,J. Randle,I. Clark,T. Frazier,A. Davis,3,59
I. Clark,C. Diallo,T. Frazier,J. Randle,D. Miller,3,286
A. Davis,J. Holiday,N. Mirotić,E. Moore,D. Miller,2,59
A. Davis,J. Holiday,N. Mirotić,E. Moore,D. Miller,5,114
A. Davis,J. Holiday,N. Mirotić,E. Moore,W. Johnson,16,261
N. Mirotić,J. Holiday,W. Johnson,E. Moore,A. Davis,15,393
J. Randle,J. Holiday,W. Johnson,E. Moore,A. Davis,2,41
J. Randle,J. Holiday,W. Johnson,E. Moore,A. Davis,5,101
J. Randle,J. Holiday,W. Johnson,E. Moore,A. Davis,1,24
J. Randle,I. Clark,D. Miller,E. Moore,A. Davis,2,41
J. Randle,I. Clark,D. Miller,E. Moore,A. Davis,1,85
J. Randle,I. Clark,D. Miller,W. Johnson,A. Davis,1,4
J. Randle,I. Clark,D. Miller,E. Moore,A. Davis,0,7
N. Mirotić,I. Clark,D. Miller,E. Moore,A. Davis,0,24
I. Clark,C. Diallo,D. Miller,N. Mirotić,J. Holiday,0,49
I. Clark,C. Diallo,D. Miller,N. Mirotić,J. Holiday,0,98
A. Davis,E. Moore,D. Miller,N. Mirotić,J. Holiday,2,51
A. Davis,E. Moore,W. Johnson,N. Mirotić,J. Holiday,0,12
A. Davis,E. Moore,W. Johnson,N. Mirotić,J. Holiday,2,42
A. Davis,E. Moore,W. Johnson,N. Mirotić,J. Holiday,7,131
A. Davis,E. Moore,W. Johnson,N. Mirotić,J. Holiday,8,311
A. Davis,E. Moore,I. Clark,D. Miller,J. Holiday,0,26
