R. Jackson,G. Robinson,L. Galloway,B. Griffin,A. Drummond,11
S. Johnson,I. Smith,L. Galloway,B. Griffin,A. Drummond,2
S. Johnson,I. Smith,L. Galloway,B. Griffin,A. Drummond,4
S. Johnson,I. Smith,L. Kennard,B. Griffin,A. Drummond,2
S. Johnson,I. Smith,L. Kennard,B. Brown,A. Drummond,2
S. Johnson,I. Smith,L. Kennard,B. Brown,A. Drummond,0
S. Johnson,L. Kennard,B. Brown,Z. Pachulia,I. Smith,2
S. Johnson,L. Kennard,B. Brown,Z. Pachulia,I. Smith,2
S. Johnson,L. Kennard,B. Brown,Z. Pachulia,I. Smith,0
B. Griffin,R. Jackson,B. Brown,Z. Pachulia,I. Smith,4
B. Griffin,R. Jackson,L. Galloway,Z. Pachulia,I. Smith,2
B. Griffin,R. Jackson,L. Galloway,A. Drummond,I. Smith,5
B. Griffin,R. Jackson,L. Galloway,A. Drummond,S. Johnson,0
B. Griffin,R. Jackson,L. Galloway,A. Drummond,S. Johnson,5
B. Griffin,R. Jackson,L. Galloway,A. Drummond,S. Johnson,0
G. Robinson,L. Galloway,R. Jackson,A. Drummond,B. Griffin,8
S. Johnson,L. Galloway,R. Jackson,A. Drummond,B. Griffin,3
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,3
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,3
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,2
S. Johnson,B. Brown,J. Calderón,A. Drummond,B. Griffin,0
S. Johnson,B. Brown,J. Calderón,Z. Pachulia,B. Griffin,2
S. Johnson,B. Brown,J. Calderón,Z. Pachulia,B. Griffin,0
S. Johnson,B. Brown,J. Calderón,Z. Pachulia,B. Griffin,0
S. Johnson,L. Galloway,A. Drummond,R. Jackson,B. Brown,6
K. Thomas,L. Galloway,A. Drummond,R. Jackson,B. Brown,2
K. Thomas,L. Galloway,A. Drummond,R. Jackson,B. Brown,0
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,0
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,2
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,0
K. Thomas,S. Johnson,A. Drummond,R. Jackson,B. Brown,0
K. Thomas,J. Leuer,A. Drummond,R. Jackson,B. Brown,5
K. Thomas,J. Leuer,J. Calderón,Z. Pachulia,B. Brown,0
K. Thomas,J. Leuer,J. Calderón,Z. Pachulia,B. Brown,5
K. Thomas,J. Leuer,J. Calderón,Z. Pachulia,B. Brown,10
